metro_area,community_name,city,builder,phase,street_name
"Baldwin County, AL",Jubilee Farms,Daphne,D.R. Horton,,Secretariat Blvd
"Baldwin County, AL",Jubilee Farms,Daphne,D.R. Horton,,Winning Colors Trail
"Baldwin County, AL",The Reserve At Daphne,Daphne,D.R. Horton,,Allegria Drive
"Baldwin County, AL",The Reserve At Daphne,Daphne,D.R. Horton,,Cloister Drive
"Baldwin County, AL",Autumn Lakes,Elberta,D.R. Horton,,Hallow Trail
"Baldwin County, AL",Cottonwood Estates,Fairhope,D.R. Horton,,Champion Road
"Baldwin County, AL",Cottonwood Estates,Fairhope,D.R. Horton,,Tigris Drive
"Baldwin County, AL",Fairhope Falls,Fairhope,D.R. Horton,,Shoshoney Circle
"Baldwin County, AL",Fairhope Falls,Fairhope,D.R. Horton,,Teluga Avenue
"Baldwin County, AL",Fairhope Falls,Fairhope,D.R. Horton,,Torrent Road
"Baldwin County, AL",Harvest Green East,Fairhope,D.R. Horton,,Alfalfa Street
"Baldwin County, AL",Harvest Green East,Fairhope,D.R. Horton,,Bushel Drive
"Baldwin County, AL",Harvest Green East,Fairhope,D.R. Horton,,Millet Avenue
"Baldwin County, AL",Harvest Green East,Fairhope,D.R. Horton,,Polenta Avenue
"Baldwin County, AL",Harvest Green East,Fairhope,D.R. Horton,,Tillage Street
"Baldwin County, AL",Laurelbrooke,Fairhope,D.R. Horton,,Laurelbrooke Loop
"Baldwin County, AL",Old Battles Village,Fairhope,D.R. Horton,,Bloomsbury Avenue
"Baldwin County, AL",Overland,Fairhope,D.R. Horton,,Ferdinand Avenue
"Baldwin County, AL",Overland,Fairhope,D.R. Horton,,Hudson Loop
"Baldwin County, AL",Overland,Fairhope,D.R. Horton,,Overland Drive
"Baldwin County, AL",Bienville Landing,Foley,D.R. Horton,,Courant Circle
"Baldwin County, AL",Bienville Landing,Foley,D.R. Horton,,Courant Cirlce
"Baldwin County, AL",Bienville Landing,Foley,D.R. Horton,,Rocher Court
"Baldwin County, AL",Bienville Landing,Foley,D.R. Horton,,Sable Drive
