metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,purchase_price,rent_price,list_date,rent_date,days_on_market,status,source_url,last_checked_date,status_changed
"Baldwin County, AL",Independence,D.R. Horton,,Revere Drive,"32667 Revere Dr, Daphne, AL 36527",4,,,1900,2026-08-24,,25,currently for rent,https://www.zillow.com/homedetails/32667-Revere-Dr-Daphne-AL-36527/450801650_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4246 Lost Bay Dr #Id1541220p, Orange Beach, AL 36561",6,3595,,5503,2026-08-15,,34,currently for rent,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541220P-Orange-Beach-AL-36561/462641711_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4306 Lost Bay Dr #1, Orange Beach, AL 36561",3,,,2300,2026-09-14,,4,currently for rent,https://www.zillow.com/homedetails/4306-Lost-Bay-Dr-1-Orange-Beach-AL-36561/459688316_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4246 Lost Bay Dr #Id1541223p, Orange Beach, AL 36561",3,1797,,2502,2026-08-09,,58,currently for rent,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541223P-Orange-Beach-AL-36561/462641751_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4242 Lost Bay Dr #4242, Orange Beach, AL 36561",3,1437,,3250,2026-09-14,,3,currently for rent,https://www.zillow.com/homedetails/4242-Lost-Bay-Dr-4242-Orange-Beach-AL-36561/464334412_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4294 Lost Bay Dr, Orange Beach, AL 36561",3,1437,370000,2900,2026-09-16,,2,currently for rent,https://www.zillow.com/homedetails/4294-Lost-Bay-Dr-Orange-Beach-AL-36561/457020516_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4310 Lost Bay Dr #4310, Orange Beach, AL 36561",3,1437,,3250,2026-09-14,,3,currently for rent,https://www.zillow.com/homedetails/4310-Lost-Bay-Dr-4310-Orange-Beach-AL-36561/464334411_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4246 Lost Bay Dr #Id1541221p, Orange Beach, AL 36561",3,1797,,2634,2026-08-15,,34,currently for rent,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541221P-Orange-Beach-AL-36561/462641758_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4148 Lost Bay Dr #1, Orange Beach, AL 36561",3,1437,,2250,2026-07-24,,56,currently for rent,https://www.zillow.com/homedetails/4148-Lost-Bay-Dr-1-Orange-Beach-AL-36561/463764832_zpid/,2026-09-18,
"Baldwin County, AL",Lost Bay,D.R. Horton,,Lost Bay Drive,"4302 Lost Bay Dr #1, Orange Beach, AL 36561",3,,,2300,2026-09-14,,4,currently for rent,https://www.zillow.com/homedetails/4302-Lost-Bay-Dr-1-Orange-Beach-AL-36561/464932718_zpid/,2026-09-18,
"Baldwin County, AL",Magnolia Pines,D.R. Horton,,Shea Circle,"13330 Shea Cir, Foley, AL 36535",3,1430,,2150,2026-08-25,,24,currently for rent,https://www.zillow.com/homedetails/13330-Shea-Cir-Foley-AL-36535/462523648_zpid/,2026-09-18,
"Baldwin County, AL",Magnolia Pines,D.R. Horton,,Shea Circle,"13824 Shea Cir, Foley, AL 36535",3,1281,,1950,2026-08-23,,26,currently for rent,https://www.zillow.com/homedetails/13824-Shea-Cir-Foley-AL-36535/456892388_zpid/,2026-09-18,
"Baldwin County, AL",Stonebridge,D.R. Horton,,Lyon Road,"31543 Lyon Rd, Daphne, AL 36527",5,,354500,2600,2026-08-23,,26,currently for rent,https://www.zillow.com/homedetails/31543-Lyon-Rd-Daphne-AL-36527/456321716_zpid/,2026-09-18,
"Baldwin County, AL",Blackwater Ridge,D.R. Horton,,Hamilton Street,"1267 Hamilton St, Conway, AR 72032",3,1056,52000,1233,2026-09-02,,16,currently for rent,https://www.zillow.com/homedetails/1267-Hamilton-St-Conway-AR-72032/234905_zpid/,2026-09-18,
"Baldwin County, AL",Autumn Fields,Lennar,,Clover Field Lane,"20040 Clover Field Ln, Summerdale, AL 36580",4,1810,,2045,2026-09-04,,13,currently for rent,https://www.zillow.com/homedetails/20040-Clover-Field-Ln-Summerdale-AL-36580/465041436_zpid/,2026-09-18,
"Baldwin County, AL",Autumn Fields,Lennar,,Clover Field Lane,"20018 Clover Field Ln, Summerdale, AL 36580",4,1732,,1995,2026-09-04,,13,currently for rent,https://www.zillow.com/homedetails/20018-Clover-Field-Ln-Summerdale-AL-36580/465041468_zpid/,2026-09-18,
"Baldwin County, AL",Roberts Cove,D.R. Horton,,Aleutian Avenue,"22396 Aleutian Ave, Foley, AL 36535",4,1387,300000,2100,2026-06-24,,84,currently for rent,https://www.zillow.com/homedetails/22396-Aleutian-Ave-Foley-AL-36535/2057095001_zpid/,2026-09-18,
"Baldwin County, AL",Roberts Cove,D.R. Horton,,Aleutian Avenue,"22360 Aleutian Ave, Foley, AL 36535",4,1800,309900,2150,2026-08-21,,26,currently for rent,https://www.zillow.com/homedetails/22360-Aleutian-Ave-Foley-AL-36535/2057095002_zpid/,2026-09-18,
"Baldwin County, AL",Sarah Farms,Lennar,,Planters Lane,"15361 Planters Ln, Foley, AL 36535",4,1732,,1945,2026-09-04,,13,currently for rent,https://www.zillow.com/homedetails/15361-Planters-Ln-Foley-AL-36535/465041462_zpid/,2026-09-18,
"Baldwin County, AL",Sarah Farms,Lennar,,Tiller Lane,"15332 Tiller Ln, Foley, AL 36535",4,1732,,1945,2026-09-04,,13,currently for rent,https://www.zillow.com/homedetails/15332-Tiller-Ln-Foley-AL-36535/462955413_zpid/,2026-09-18,
"Baldwin County, AL",Sarah Farms,Lennar,,Planters Lane,"15375 Planters Ln, Foley, AL 36535",4,1891,,1995,2026-09-04,,13,currently for rent,https://www.zillow.com/homedetails/15375-Planters-Ln-Foley-AL-36535/463785362_zpid/,2026-09-18,
"Baldwin County, AL",Hadley Village,D.R. Horton,,Dayton Circle,"14578 Dayton Cir, Foley, AL 36535",4,2031,322000,2500,2026-09-15,,1,currently for rent,https://www.zillow.com/homedetails/14578-Dayton-Cir-Foley-AL-36535/447119813_zpid/,2026-09-18,
"Baldwin County, AL",Hadley Village,D.R. Horton,,Dayton Circle,"14531 Dayton Cir, Foley, AL 36535",4,2031,324000,2500,2026-09-15,,1,currently for rent,https://www.zillow.com/homedetails/14531-Dayton-Cir-Foley-AL-36535/462698096_zpid/,2026-09-18,
"Baldwin County, AL",Autumn Fields,Lennar,,Clover Field Lane,"19976 Clover Field Ln, Summerdale, AL 36580",3,1569,,1845,2026-09-11,,5,currently for rent,https://www.zillow.com/homedetails/19976-Clover-Field-Ln-Summerdale-AL-36580/465209719_zpid/,2026-09-18,
"Baldwin County, AL",Autumn Fields,Lennar,,Clover Field Lane,"20052 Clover Field Ln, Summerdale, AL 36580",3,1413,,1795,2026-09-04,,13,currently for rent,https://www.zillow.com/homedetails/20052-Clover-Field-Ln-Summerdale-AL-36580/465041471_zpid/,2026-09-18,
