community_name,city,full_address,lot_number,beds,baths,garage,story,sqft,status,price,first_seen_date,last_seen_date,last_checked_date,price_changed,removed_date,source_url
Brinkley Ridge,Kings Mountain,444 Brinkley Drive,135,3,2.5,2,2,1749,for sale,299000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,248 Colton Court,65,4,2.5,2,2,2565,for sale,365000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/248-colton-court
Brinkley Ridge,Kings Mountain,254 Colton Court,64,4,2.5,2,2,1991,for sale,339000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/254-colton-court
Brinkley Ridge,Kings Mountain,260 Colton Court,63,5,3,2,2,2368,for sale,345000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/260-colton-court
Brinkley Ridge,Kings Mountain,510 Brinkley Drive,131,4,2.5,2,2,1991,for sale,349000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/510-brinkley-drive
Brinkley Ridge,Kings Mountain,511 Brinkley Drive,120,5,3,2,2,2511,for sale,377090,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/511-brinkley-drive
Brinkley Ridge,Kings Mountain,522 Brinkley Drive,129,5,3,2,2,2511,for sale,365000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/522-brinkley-drive
Brinkley Ridge,Kings Mountain,528 Brinkley Drive,128,4,2.5,2,2,1991,for sale,355390,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/528-brinkley-drive
Brinkley Ridge,Kings Mountain,137 Colton Court,28,5,3,2,2,2368,under contract,355000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,242 Colton Court,66,5,3,2,2,2511,under contract,325000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,266 Colton Court,62,3,2,2,1,1618,under contract,344790,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,438 Brinkley Drive,136,4,2.5,2,2,1991,under contract,345000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,449 Brinkley Drive,118,3,2.5,2,2,2175,under contract,295000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,450 Brinkley Drive,134,5,3,2,2,2511,under contract,325000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
Brinkley Ridge,Kings Mountain,456 Brinkley Drive,133,4,2.5,2,2,2175,under contract,295000,2026-08-06,2026-08-06,2026-08-06,,,https://www.drhorton.com/north-carolina/charlotte/kings-mountain/brinkley-ridge/qmis/444-brinkley-drive
