metro_area,community_name,city,builder,phase,street_name
"Hickory, NC",Cline Village,Conover,D.R. Horton,,Ashton Drive Nw
"Hickory, NC",Cline Village,Conover,D.R. Horton,,Caroline Court Nw
"Hickory, NC",Cline Village,Conover,D.R. Horton,,Charles Street Nw
"Hickory, NC",Cline Village,Conover,D.R. Horton,,Maxwell Henry Lane Nw
"Hickory, NC",Falls At Hickory,Hickory,D.R. Horton,,13th Street Ne
"Hickory, NC",Falls At Hickory,Hickory,D.R. Horton,,37th Avenue Lane Ne
"Hickory, NC",Hamptons At Hickory,Hickory,D.R. Horton,,13th Avenue Drive Ne
"Hickory, NC",Hamptons At Hickory,Hickory,D.R. Horton,,14th Avenue Court Ne
"Hickory, NC",Hamptons At Hickory,Hickory,D.R. Horton,,5th Street Drive Ne
"Hickory, NC",Huffman Ridge,Hickory,D.R. Horton,,10th Street Se
"Hickory, NC",Huffman Ridge,Hickory,D.R. Horton,,20th Ave Loop Se
"Hickory, NC",Zion Springs,Hickory,D.R. Horton,,Avila Street
"Hickory, NC",Zion Springs,Hickory,D.R. Horton,,Mammoth Road
"Hickory, NC",The Villages Of Maiden,Maiden,D.R. Horton,,Goose Fair Road
"Hickory, NC",The Falls At Newton,Newton,D.R. Horton,,Dazzle Loop
"Hickory, NC",The Falls At Newton,Newton,D.R. Horton,,Falls Cove Road
"Hickory, NC",The Falls At Newton,Newton,D.R. Horton,,Janie Circle
"Hickory, NC",Oxford Glen,Claremont,Lennar,,Oxford Glen Drive
"Hickory, NC",Meadows At Lake Hickory,Hickory,Lennar,,
"Hickory, NC",Shannon Woods,Maiden,Lennar,,
"Hickory, NC",Buffalo Ridge,Newton,Lennar,,
