metro_area,community_name,city,builder,phase,street_name
"Little Rock, AR",Kensington Place,Bryant,D.R. Horton,,Warwick Dr
"Little Rock, AR",Wolfsbridge,Cabot,D.R. Horton,,Wolfsbridge Loop
"Little Rock, AR",The Villas Hope Valley,Hensley,D.R. Horton,,Preston Ln
"Little Rock, AR",Stone Canyon,Maumelle,D.R. Horton,,Bighorn Trail
"Little Rock, AR",Stone Canyon,Maumelle,D.R. Horton,,Stone Canyon Drive
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,,Cain Trail
"Little Rock, AR",The Reserve At Country Club,Maumelle,D.R. Horton,,Lainey Drive
"Little Rock, AR",River Plantation,Mayflower,D.R. Horton,,Plantation Dr
"Little Rock, AR",The Vineyard,Mayflower,D.R. Horton,,E Sunbelt Court
"Little Rock, AR",Moonlight Meadows,Ward,D.R. Horton,,Moonlight Graham Road
"Little Rock, AR",Midland Estates,Alexander,Lennar,Phase 1,Sam Tillery Dr
"Little Rock, AR",The Meadows At Parkway Trails,Bauxite,Lennar,,Chesapeake Trl
"Little Rock, AR",The Meadows At Parkway Trails,Bauxite,Lennar,,Potomac Trl
"Little Rock, AR",Farmhouse At Ridge Creek,Beebe,Lennar,,
"Little Rock, AR",Southfork Ranch,Beebe,Lennar,,Powder River Drive
"Little Rock, AR",Southfork Ranch,Beebe,Lennar,,Southfork Drive
"Little Rock, AR",Cottage Walk,Benton,Lennar,Phase 1,Rambling Brook Drive
"Little Rock, AR",Rosemary Fields,Benton,Lennar,,Flat Wood Ave
"Little Rock, AR",Rosemary Fields,Benton,Lennar,,Flatwood Ave
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Bassett St
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Croft Ave
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Hollywood Ave
"Little Rock, AR",Stagecoach Meadows,Cabot,Lennar,,Maddison Rachael
"Little Rock, AR",Stagecoach Meadows,Cabot,Lennar,,Nona Ruth Lane
"Little Rock, AR",Gold Creek Falls,Conway,Lennar,,
"Little Rock, AR",Nolan Place,Conway,Lennar,,
"Little Rock, AR",Springlake Trails,Hensley,Lennar,,Duck Creek Drive
"Little Rock, AR",Springlake Trails,Hensley,Lennar,,Thompson Branch Trl
"Little Rock, AR",Cypress Bend,Maumelle,Lennar,,Jonathan Drive
"Little Rock, AR",Cypress Bend,Maumelle,Lennar,,Lucy Lane
"Little Rock, AR",The Vineyard,Mayflower,Lennar,,Cabernet Way
"Little Rock, AR",The Vineyard,Mayflower,Lennar,,E Concord Road
"Little Rock, AR",Woods At White Oak,North Little Rock,Lennar,,
"Little Rock, AR",Magnolia Manor,Searcy,Lennar,,Magnolia Springs Drive
"Little Rock, AR",Magnolia Manor,,Lennar,,Manor Court
"Little Rock, AR",Magnolia Manor,Searcy,Lennar,,Manor Oaks Blvd
"Little Rock, AR",Cottage Walk,Benton,Lennar,Phase 1,Raven Walk Dr
"Little Rock, AR",Deerfield,Ward,Lennar,,Ten Point Lane
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,W Westwood Creek Drive
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Mason Drive
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Northwood Creek Drive
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Lori Kaye Drive
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Cypress Knee Drive
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Olympic Drive
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Huntington Drive
"Little Rock, AR",Stagecoach Meadows,Little Rock,Lennar,,Laney Loop
"Little Rock, AR",Stagecoach Meadows,Little Rock,Lennar,,Kinley Brook Lane
"Little Rock, AR",Stagecoach Meadows,Little Rock,Lennar,,Sarah Alyse Lane
"Little Rock, AR",Stagecoach Meadows,Little Rock,Lennar,,Kyndall Lauren Lane
"Little Rock, AR",Stagecoach Meadows,Little Rock,Lennar,,Swayze Rhys Lane
"Little Rock, AR",Cypress Bend,Maumelle,Lennar,,IM Drive
"Little Rock, AR",Kensington Place,Alexander,D.R. Horton,,Newark
"Little Rock, AR",Cypress Bend,Maumelle,Lennar,,Sofia Drive
"Little Rock, AR",The Villas Hope Valley,Hensley,D.R. Horton,,Kelton Lane
"Little Rock, AR",Crescent Grove,,D.R. Horton,,Chakka Loop
"Little Rock, AR",Panther Cove,,Lennar,,Gussy Lane
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Fitzgerald Lane
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Stacey Lane
"Little Rock, AR",White Oak Crossing,North Little Rock,Lennar,,Kennedy Lane
"Little Rock, AR",Deerfield,Ward,Lennar,,Remington Lane
"Little Rock, AR",Deerfield,Ward,Lennar,,Doe Run Drive
"Little Rock, AR",Deerfield,Ward,Lennar,,Ruger Cove
"Little Rock, AR",Deerfield,Ward,Lennar,,Buckshot Drive
"Little Rock, AR",Deerfield,Ward,Lennar,,Sig Cove
"Little Rock, AR",Stagecoach Meadows,Little Rock,Lennar,,Leruss Boulevard
"Little Rock, AR",Springlake Trails,,Lennar,,River Creek Lane
"Little Rock, AR",Springlake Trails,,Lennar,,River Valley Drive
"Little Rock, AR",Springlake Trails,,Lennar,,Thompson Branch Trail
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Meadows Drive
"Little Rock, AR",The Grove At Centennial Valley,Benton,Lennar,,Cobblefield Cove
"Little Rock, AR",Southfork Ranch,Beebe,Lennar,I,King Ranch Drive
"Little Rock, AR",Midland Estates,Alexander,Lennar,Phase 1,Ted Craig Drive
"Little Rock, AR",Midland Estates,Alexander,Lennar,Phase 1,Cornus Drive
"Little Rock, AR",Midland Estates,Alexander,Lennar,Phase 1,Red Maple Lane
"Little Rock, AR",Magnolia Manor,,Lennar,,Gum Spring Road
"Little Rock, AR",Moonlight Meadows,,D.R. Horton,1,Moonlight Graham Boulevard
"Little Rock, AR",The Villas Hope Valley,Hensley,D.R. Horton,1,Alyece Lane
"Little Rock, AR",Kensington Place,Alexander,D.R. Horton,,Sloan Drive
