metro_area,community_name,builder,phase,total_homes_planned,sold_count,under_contract_count,for_sale_count,withdrawn_count,expired_count,to_be_built_count,other_count,pct_sold,last_updated
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,,20,9,12,0,0,0,0,,2026-08-11
"Little Rock, AR",Crescent Grove,D.R. Horton,,,0,2,13,0,0,0,0,,2026-08-11
"Little Rock, AR",Cypress Bend,Lennar,,,22,6,4,0,0,0,0,,2026-08-11
"Little Rock, AR",Deerfield,Lennar,,,52,0,0,9,0,0,0,,2026-08-11
"Little Rock, AR",Kensington Place,D.R. Horton,,,55,3,0,0,8,0,0,,2026-08-11
"Little Rock, AR",Magnolia Manor,Lennar,,,0,5,3,0,0,0,5,,2026-08-11
"Little Rock, AR",Midland Estates,Lennar,Phase 1,,38,5,3,0,0,0,0,,2026-08-11
"Little Rock, AR",Moonlight Meadows,D.R. Horton,1,,15,2,12,0,3,0,0,,2026-08-11
"Little Rock, AR",Panther Cove,Lennar,,,26,1,0,0,0,0,0,,2026-08-11
"Little Rock, AR",River Plantation,D.R. Horton,,,8,2,6,0,0,0,0,,2026-08-11
"Little Rock, AR",Rosemary Fields,Lennar,,,0,0,3,0,0,0,7,,2026-08-11
"Little Rock, AR",Southfork Ranch,Lennar,I,,20,1,9,4,0,0,0,,2026-08-11
"Little Rock, AR",Springlake Trails,Lennar,,,79,3,7,0,0,1,0,,2026-08-11
"Little Rock, AR",Stagecoach Meadows,Lennar,,,79,2,4,11,0,0,4,,2026-08-11
"Little Rock, AR",Stone Canyon,D.R. Horton,,,14,10,6,0,0,0,1,,2026-08-11
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,,61,7,7,0,0,0,2,,2026-08-11
"Little Rock, AR",The Reserve At Country Club,D.R. Horton,1,,95,9,0,1,0,0,0,,2026-08-11
"Little Rock, AR",The Villas Hope Valley,D.R. Horton,1,,19,2,11,1,16,0,0,,2026-08-11
"Little Rock, AR",The Vineyard,D.R. Horton,,,51,4,0,2,4,0,0,,2026-08-11
"Little Rock, AR",The Vineyard,Lennar,,,0,2,4,0,0,0,2,,2026-08-11
"Little Rock, AR",White Oak Crossing,Lennar,,,57,0,0,3,0,0,0,,2026-08-11
"Little Rock, AR",Wolfsbridge,D.R. Horton,,,14,3,7,0,0,0,1,,2026-08-11
