metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,purchase_price,rent_price,list_date,rent_date,days_on_market,status,source_url,last_checked_date,status_changed
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Sam Tillery Dr,"2356 Sam Tillery Dr, Alexander, AR",,,,,,,,unknown,"https://www.zillow.com/b/building/34.669003,-92.48261_ll/",2026-08-19,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Rambling Brook Drive,"1604 Rambling Brook Dr, Benton, AR 72015",4,1699,231900,2000,2026-07-24,,10,currently for rent,https://www.zillow.com/homedetails/1604-Rambling-Brook-Dr-Benton-AR-72015/462316832_zpid/ | MLS #26030160,2026-08-19,unknown -> currently for rent (2026-08-12)
"Little Rock, AR",Kensington Place,D.R. Horton,,Warwick Dr,"6312 Warwick Dr, Bryant, AR 72002",4,1849,267000,2200,2026-06-17,,62,currently for rent,https://www.zillow.com/homedetails/6312-Warwick-Dr-Bryant-AR-72002/460975832_zpid/,2026-08-19,unknown -> currently for rent (2026-08-12)
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,"6648 Hollywood Ave, Benton, AR 72019",4,1470,215600,1745,2026-06-20,,50,currently for rent,https://www.zillow.com/homedetails/6648-Hollywood-Ave-Benton-AR-72019/460872553_zpid/,2026-08-19,unknown -> currently for rent (2026-08-12)
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Huntington Drive,"1056 Huntington Dr, Benton, AR 72019",4,1470,206900,1645,2026-07-02,,47,currently for rent,https://www.zillow.com/homedetails/1056-Huntington-Dr-Benton-AR-72019/2061811695_zpid/,2026-08-19,unknown -> currently for rent (2026-08-12)
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,"6673 Hollywood Ave, Benton, AR 72019",4,2250,215900,1795,2026-06-20,,59,currently for rent,https://www.zillow.com/homedetails/6673-Hollywood-Ave-Benton-AR-72019/461413230_zpid/,2026-08-19,unknown -> currently for rent (2026-08-12)
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,"1400 Meadows Dr, Benton, AR 72019",4,1559,,,,,32,unknown,https://www.zillow.com/homedetails/1400-Meadows-Dr-Benton-AR-72019/351191881_zpid/,2026-08-19,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Huntington Drive,"1088 Huntington Dr, Benton, AR 72019",4,1640,,1595,2026-06-25,,55,currently for rent,https://www.zillow.com/homedetails/1088-Huntington-Dr-Benton-AR-72019/2062453392_zpid/,2026-08-19,unknown -> currently for rent (2026-08-12)
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,"51 Ten Point Lane, Ward, AR",3,1377,,1400,2025-11-28,2025-12-09,11,previously rented,MLS #25047297,2026-08-19,
"Little Rock, AR",White Oak Crossing,Lennar,,W Westwood Creek Drive,"8609 Westwood Creek Drive, North Little Rock, AR",3,1600,,1500,2026-08-26,2026-10-31,66,previously rented,MLS #25034361 | MLS #22018156,2026-08-19,
