metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,list_price,price,status_bucket,status_raw,input_date,closed_date,last_checked_date,status_changed
"Little Rock, AR",White Oak Crossing,Lennar,,Fitzgerald Lane,8209 Fitzgerald Lane,2,1114,198325,198325,withdrawn,WITH,6/16/2025 3:00 PM,,2026-08-03,sold -> withdrawn (2026-08-03)
"Little Rock, AR",White Oak Crossing,Lennar,,Fitzgerald Lane,8305 Fitzgerald Lane,3,1217,176675,166675,sold,SLD,3/19/2025 12:45 PM,9/11/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Remington Lane,46 Remington Lane,3,1051,168750,167000,sold,SLD,12/2/2025 2:51 PM,7/22/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,270 Sarah Alyse Lane,2,869,162250,167250,sold,SLD,11/12/2025 1:47 PM,1/30/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6089 Croft Avenue,2,869,169045,169045,sold,SLD,6/13/2025 12:15 PM,10/17/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Doe Run Drive,27 Doe Run Drive,3,1249,169360,169360,sold,SLD,1/31/2025 5:44 PM,11/7/2025,2026-08-03,
"Little Rock, AR",Springlake Trails,Lennar,,Duck Creek Drive,12240 Duck Creek Drive,3,1051,169850,169900,sold,SLD,7/9/2025 12:34 PM,1/29/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,34 Ten Point Lane,3,1243,172375,170000,sold,SLD,6/30/2025 3:19 PM,9/25/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Leruss Boulevard,210 Leruss Boulevard,3,1012,172000,172000,sold,SBL,4/22/2025 8:51 AM,4/18/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,41 Ten Point Lane,3,1355,180205,172000,sold,SLD,7/28/2025 10:19 AM,9/19/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,43 Ten Point Lane,3,1051,171900,172900,sold,SLD,8/22/2025 10:39 AM,12/11/2025,2026-08-03,
"Little Rock, AR",White Oak Crossing,Lennar,,Mason Drive,10713 Mason Drive,3,1402,218630,218630,sold,SLD,9/30/2025 3:06 PM,12/29/2025,2026-08-03,
"Little Rock, AR",White Oak Crossing,Lennar,,Stacey Lane,8201 Stacey Lane,2,1114,166255,173000,sold,SLD,6/16/2025 2:05 PM,9/17/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Remington Lane,39 Remington Lane,3,1051,173900,173900,sold,SLD,10/21/2025 4:15 PM,1/20/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,130 Maddison Rachael,3,1248,175550,174000,sold,SLD,1/29/2026 1:53 PM,4/20/2026,2026-08-03,
