metro_area,community_name,city,builder,phase,street_name
"Oklahoma City, OK",Rush Creek,Edmond,D.R. Horton,,Hickory Way
"Oklahoma City, OK",Rush Creek,Edmond,D.R. Horton,,Rushing Ln
"Oklahoma City, OK",Woodland Park,Edmond,D.R. Horton,,
"Oklahoma City, OK",Prairie Pointe Estates,Guthrie,D.R. Horton,,Prairie Vista
"Oklahoma City, OK",Montage,Mustang,D.R. Horton,,Sw 40th Street
"Oklahoma City, OK",Wild Horse Canyon Section 3,Mustang,D.R. Horton,,E Ruger Ln
"Oklahoma City, OK",Wild Horse Canyon Section 3,Mustang,D.R. Horton,,E Stallion Ln
"Oklahoma City, OK",Wild Horse Canyon Section 3,Mustang,D.R. Horton,,E Stetson Ln
"Oklahoma City, OK",Wild Horse Canyon Section 3,Mustang,D.R. Horton,,S Bear Ln
"Oklahoma City, OK",Wyndemere,Newcastle,D.R. Horton,,Indiana Court
"Oklahoma City, OK",Wyndemere,Newcastle,D.R. Horton,,Park Place Drive
"Oklahoma City, OK",Wyndemere,Newcastle,D.R. Horton,,St Charles Place
"Oklahoma City, OK",Wyndemere,Newcastle,D.R. Horton,,States Ave
"Oklahoma City, OK",Woods In Noble,Noble,D.R. Horton,,Maleah Ave
"Oklahoma City, OK",Windstone,Norman,D.R. Horton,,Dusty Trail
"Oklahoma City, OK",Windstone,Norman,D.R. Horton,,Windstone Dr
"Oklahoma City, OK",Windstone,Norman,D.R. Horton,,Windstone Ln
"Oklahoma City, OK",Buffalo Farms,Oklahoma City,D.R. Horton,,Sw 31st Ter
"Oklahoma City, OK",Castlebrook Crossing,Yukon,D.R. Horton,,Kathleens Crossing
"Oklahoma City, OK",Castlebrook Crossing,Yukon,D.R. Horton,,Kathleens Crossing   Wo
"Oklahoma City, OK",Castlebrook Crossing,Yukon,D.R. Horton,,Tracys Manor
"Oklahoma City, OK",Castlebrook Crossing,Yukon,D.R. Horton,,Tracys Manor   Window
"Oklahoma City, OK",Fireside Creek,Oklahoma City,D.R. Horton,,Campfire Drive
"Oklahoma City, OK",Fireside Creek,Oklahoma City,D.R. Horton,,Ember Drive
"Oklahoma City, OK",The Enclave,Oklahoma City,D.R. Horton,,Ne 104th St
"Oklahoma City, OK",The Enclave,Oklahoma City,D.R. Horton,,Ne 105th St
"Oklahoma City, OK",The Enclave,Oklahoma City,D.R. Horton,,Ne 107th Street
"Oklahoma City, OK",The Enclave,Oklahoma City,D.R. Horton,,Tall Prairie Terr
"Oklahoma City, OK",The Enclave At Blackwood Farms,Oklahoma City,D.R. Horton,,Blackwood Blvd
"Oklahoma City, OK",The Enclave At Blackwood Farms,Oklahoma City,D.R. Horton,,Blackwood Court
"Oklahoma City, OK",The Enclave At Blackwood Farms,Oklahoma City,D.R. Horton,,Green Meadows Ln
"Oklahoma City, OK",The Enclave At Blackwood Farms,Oklahoma City,D.R. Horton,,Nw 60th St
"Oklahoma City, OK",Autumn Chase At Town Central,Piedmont,D.R. Horton,,Burlywood Lane
"Oklahoma City, OK",Autumn Chase At Town Central,Piedmont,D.R. Horton,,Mahogany Ln
"Oklahoma City, OK",Autumn Chase At Town Central,Piedmont,D.R. Horton,,Red Oak Ln
"Oklahoma City, OK",Rose Rock,Piedmont,D.R. Horton,,Cherokee Trail
"Oklahoma City, OK",The Brook,Piedmont,D.R. Horton,,Little Falls Lane
"Oklahoma City, OK",The Brook,Piedmont,D.R. Horton,,Nw 142nd Street
"Oklahoma City, OK",The Brook,Piedmont,D.R. Horton,,Trickling Way
"Oklahoma City, OK",Horn Valley North,Yukon,D.R. Horton,,Casey Drive
"Oklahoma City, OK",Horn Valley North,Yukon,D.R. Horton,,Nw 27th Street
"Oklahoma City, OK",Horn Valley North,Yukon,D.R. Horton,,Nw 28th Terrace
"Oklahoma City, OK",Montereau,Yukon,D.R. Horton,,Nw 149th Street
"Oklahoma City, OK",Antler Creek2,Edmond,Lennar,,
"Oklahoma City, OK",Covell Ranch,Edmond,Lennar,,Norfolk Pine Drive
"Oklahoma City, OK",Covell Ranch,Edmond,Lennar,,Norway Spruce Street
