listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"1802 Cashew Cir, Foley, AL 36535",1802 Cashew Cir,forRent,,,,,,,https://www.zillow.com/apartments/foley-al/outpost-orchard-residential/CgKL5n/,,
"830 State Highway 98, Daphne, AL 36526",830 State Highway 98,forRent,,,,,,,https://www.zillow.com/apartments/daphne-al/colonnade-at-eastern-shore/CkWVjp/,,
"32667 Revere Dr, Daphne, AL 36527",32667 Revere Dr,forRent,,4,,,1900,25,https://www.zillow.com/homedetails/32667-Revere-Dr-Daphne-AL-36527/450801650_zpid/,,
"31436 Memphis Loop, Spanish Fort, AL 36527",31436 Memphis Loop,forRent,,4,1948,,2295,30,https://www.zillow.com/homedetails/31436-Memphis-Loop-Spanish-Fort-AL-36527/2067469020_zpid/,,359800
"13898 Antler Hill Rd, Spanish Fort, AL 36527",13898 Antler Hill Rd,forRent,,4,1948,,2400,13,https://www.zillow.com/homedetails/13898-Antler-Hill-Rd-Spanish-Fort-AL-36527/405553127_zpid/,,360400
"12807 Philadelphia Blvd, Daphne, AL 36527",12807 Philadelphia Blvd,forRent,,3,1437,,1800,71,https://www.zillow.com/homedetails/12807-Philadelphia-Blvd-Daphne-AL-36527/343594922_zpid/,,239800
"904 Shagbark Rd, Foley, AL 36535",904 Shagbark Rd,forRent,,,,,,,https://www.zillow.com/apartments/foley-al/the-village-at-hickory-street/CgLXC4/,,
"12819 Philadelphia Blvd, Daphne, AL 36527",12819 Philadelphia Blvd,forRent,,3,1437,,1700,17,https://www.zillow.com/homedetails/12819-Philadelphia-Blvd-Daphne-AL-36527/448730797_zpid/,,251025
"13437 Antler Hill Rd, Spanish Fort, AL 36527",13437 Antler Hill Rd,forRent,,4,1931,,2350,7,https://www.zillow.com/homedetails/13437-Antler-Hill-Rd-Spanish-Fort-AL-36527/2058500497_zpid/,,319950
"4246 Lost Bay Dr #Id1541220p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541220p,forRent,,6,3595,,5503,34,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541220P-Orange-Beach-AL-36561/462641711_zpid/,,
"4306 Lost Bay Dr #1, Orange Beach, AL 36561",4306 Lost Bay Dr #1,forRent,,3,,,2300,4,https://www.zillow.com/homedetails/4306-Lost-Bay-Dr-1-Orange-Beach-AL-36561/459688316_zpid/,,
"4246 Lost Bay Dr #Id1541223p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541223p,forRent,,3,1797,,2603,45,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541223P-Orange-Beach-AL-36561/462641751_zpid/,,
"4021 Blue Water Dr #4021, Orange Beach, AL 36561",4021 Blue Water Dr #4021,forRent,,3,1437,,2250,4,https://www.zillow.com/homedetails/4021-Blue-Water-Dr-4021-Orange-Beach-AL-36561/458825663_zpid/,,
"4242 Lost Bay Dr #4242, Orange Beach, AL 36561",4242 Lost Bay Dr #4242,forRent,,3,1437,,3500,30,https://www.zillow.com/homedetails/4242-Lost-Bay-Dr-4242-Orange-Beach-AL-36561/464334412_zpid/,,
"4294 Lost Bay Dr, Orange Beach, AL 36561",4294 Lost Bay Dr,forRent,,3,1437,,2900,2,https://www.zillow.com/homedetails/4294-Lost-Bay-Dr-Orange-Beach-AL-36561/457020516_zpid/,,370000
"4310 Lost Bay Dr #4310, Orange Beach, AL 36561",4310 Lost Bay Dr #4310,forRent,,3,1437,,3500,30,https://www.zillow.com/homedetails/4310-Lost-Bay-Dr-4310-Orange-Beach-AL-36561/464334411_zpid/,,
"4246 Lost Bay Dr #Id1541221p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541221p,forRent,,3,1797,,2634,34,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541221P-Orange-Beach-AL-36561/462641758_zpid/,,
"4688 Casablanca Dr, Orange Beach, AL 36561",4688 Casablanca Dr,forRent,,3,2008,,3500,57,https://www.zillow.com/homedetails/4688-Casablanca-Dr-Orange-Beach-AL-36561/2067521250_zpid/,,490000
"4148 Lost Bay Dr #1, Orange Beach, AL 36561",4148 Lost Bay Dr #1,forRent,,3,1437,,2250,56,https://www.zillow.com/homedetails/4148-Lost-Bay-Dr-1-Orange-Beach-AL-36561/463764832_zpid/,,
"4302 Lost Bay Dr #1, Orange Beach, AL 36561",4302 Lost Bay Dr #1,forRent,,3,,,2300,4,https://www.zillow.com/homedetails/4302-Lost-Bay-Dr-1-Orange-Beach-AL-36561/464932718_zpid/,,
"24759 Raynagua Blvd, Loxley, AL 36551",24759 Raynagua Blvd,forRent,,4,2142,,2090,0,https://www.zillow.com/homedetails/24759-Raynagua-Blvd-Loxley-AL-36551/463510991_zpid/,,
"16363 Apricot Dr, Loxley, AL 36551",16363 Apricot Dr,forRent,,4,2142,,2090,0,https://www.zillow.com/homedetails/16363-Apricot-Dr-Loxley-AL-36551/465041459_zpid/,,
"4246 Lost Bay Dr #Id1541220p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541220p,forRent,,6,3595,,5503,34,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541220P-Orange-Beach-AL-36561/462641711_zpid/,,
"4246 Lost Bay Dr #Id1541223p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541223p,forRent,,3,1797,,2603,45,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541223P-Orange-Beach-AL-36561/462641751_zpid/,,
"4306 Lost Bay Dr #1, Orange Beach, AL 36561",4306 Lost Bay Dr #1,forRent,,3,,,2300,4,https://www.zillow.com/homedetails/4306-Lost-Bay-Dr-1-Orange-Beach-AL-36561/459688316_zpid/,,
"13330 Shea Cir, Foley, AL 36535",13330 Shea Cir,forRent,,3,1430,,2150,24,https://www.zillow.com/homedetails/13330-Shea-Cir-Foley-AL-36535/462523648_zpid/,,
"13824 Shea Cir, Foley, AL 36535",13824 Shea Cir,forRent,,3,1281,,1950,26,https://www.zillow.com/homedetails/13824-Shea-Cir-Foley-AL-36535/456892388_zpid/,,
"31543 Lyon Rd, Daphne, AL 36527",31543 Lyon Rd,forRent,,5,,,2600,26,https://www.zillow.com/homedetails/31543-Lyon-Rd-Daphne-AL-36527/456321716_zpid/,,354500
"24775 Raynagua Blvd, Loxley, AL 36551",24775 Raynagua Blvd,forRent,,4,2000,,1995,0,https://www.zillow.com/homedetails/24775-Raynagua-Blvd-Loxley-AL-36551/463944561_zpid/,,
"4148 Lost Bay Dr #1, Orange Beach, AL 36561",4148 Lost Bay Dr #1,forRent,,3,1437,,2250,56,https://www.zillow.com/homedetails/4148-Lost-Bay-Dr-1-Orange-Beach-AL-36561/463764832_zpid/,,
"4310 Lost Bay Dr #4310, Orange Beach, AL 36561",4310 Lost Bay Dr #4310,forRent,,3,1437,,3500,30,https://www.zillow.com/homedetails/4310-Lost-Bay-Dr-4310-Orange-Beach-AL-36561/464334411_zpid/,,
"4242 Lost Bay Dr #4242, Orange Beach, AL 36561",4242 Lost Bay Dr #4242,forRent,,3,1437,,3500,30,https://www.zillow.com/homedetails/4242-Lost-Bay-Dr-4242-Orange-Beach-AL-36561/464334412_zpid/,,
