listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"4306 Lost Bay Dr #1, Orange Beach, AL 36561",4306 Lost Bay Dr #1,forRent,,3,,,2300,8,https://www.zillow.com/homedetails/4306-Lost-Bay-Dr-1-Orange-Beach-AL-36561/459688316_zpid/,,
"4246 Lost Bay Dr #Id1541223p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541223p,forRent,,3,1797,,2531,49,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541223P-Orange-Beach-AL-36561/462641751_zpid/,,
"4302 Lost Bay Dr #1, Orange Beach, AL 36561",4302 Lost Bay Dr #1,forRent,,3,,,2300,8,https://www.zillow.com/homedetails/4302-Lost-Bay-Dr-1-Orange-Beach-AL-36561/464932718_zpid/,,
"4246 Lost Bay Dr #Id1541220p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541220p,forRent,,6,3595,,5425,38,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541220P-Orange-Beach-AL-36561/462641711_zpid/,,
"4688 Casablanca Dr, Orange Beach, AL 36561",4688 Casablanca Dr,forRent,,3,2008,,3500,61,https://www.zillow.com/homedetails/4688-Casablanca-Dr-Orange-Beach-AL-36561/2067521250_zpid/,,490000
"4246 Lost Bay Dr #Id1541221p, Orange Beach, AL 36561",4246 Lost Bay Dr #Id1541221p,forRent,,3,1797,,2600,38,https://www.zillow.com/homedetails/4246-Lost-Bay-Dr-ID1541221P-Orange-Beach-AL-36561/462641758_zpid/,,
"4021 Blue Water Dr #4021, Orange Beach, AL 36561",4021 Blue Water Dr #4021,forRent,,3,1437,,2250,8,https://www.zillow.com/homedetails/4021-Blue-Water-Dr-4021-Orange-Beach-AL-36561/458825663_zpid/,,
"4294 Lost Bay Dr, Orange Beach, AL 36561",4294 Lost Bay Dr,forRent,,3,1437,,2900,6,https://www.zillow.com/homedetails/4294-Lost-Bay-Dr-Orange-Beach-AL-36561/457020516_zpid/,,370000
"4148 Lost Bay Dr #1, Orange Beach, AL 36561",4148 Lost Bay Dr #1,forRent,,3,1437,,2250,60,https://www.zillow.com/homedetails/4148-Lost-Bay-Dr-1-Orange-Beach-AL-36561/463764832_zpid/,,
"24775 Raynagua Blvd, Loxley, AL 36551",24775 Raynagua Blvd,forRent,,4,2000,,1995,4,https://www.zillow.com/homedetails/24775-Raynagua-Blvd-Loxley-AL-36551/463944561_zpid/,,
"13330 Shea Cir, Foley, AL 36535",13330 Shea Cir,forRent,,3,1430,,2100,28,https://www.zillow.com/homedetails/13330-Shea-Cir-Foley-AL-36535/462523648_zpid/,,
"16404 Apricot Dr, Loxley, AL 36551",16404 Apricot Dr,forRent,,3,1550,,1750,4,https://www.zillow.com/homedetails/16404-Apricot-Dr-Loxley-AL-36551/462793552_zpid/,,
"24759 Raynagua Blvd, Loxley, AL 36551",24759 Raynagua Blvd,forRent,,4,2142,,2090,4,https://www.zillow.com/homedetails/24759-Raynagua-Blvd-Loxley-AL-36551/463510991_zpid/,,
"13824 Shea Cir, Foley, AL 36535",13824 Shea Cir,forRent,,3,1281,,1950,30,https://www.zillow.com/homedetails/13824-Shea-Cir-Foley-AL-36535/456892388_zpid/,,
"31543 Lyon Rd, Daphne, AL 36527",31543 Lyon Rd,forRent,,5,,,2600,30,https://www.zillow.com/homedetails/31543-Lyon-Rd-Daphne-AL-36527/456321716_zpid/,,354500
"16363 Apricot Dr, Loxley, AL 36551",16363 Apricot Dr,forRent,,4,2142,,2090,4,https://www.zillow.com/homedetails/16363-Apricot-Dr-Loxley-AL-36551/465041459_zpid/,,
