listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"165 Bighorn Trl, Maumelle, AR 72113",165 Bighorn Trl,Maumelle,AR,,other,4,1533,,246100,75,https://www.zillow.com/homedetails/165-Bighorn-Trl-Maumelle-AR-72113/461212840_zpid/,,,2026-07-10T00:00:00.000Z,Listed for rent,2026-06-24T00:00:00.000Z,Contingent,2026-03-22T00:00:00.000Z,Listed for sale,,,,,,
"170 Bighorn Trl, Maumelle, AR 72113",170 Bighorn Trl,Maumelle,AR,,other,3,1382,,234200,32,https://www.zillow.com/homedetails/170-Bighorn-Trl-Maumelle-AR-72113/461017693_zpid/,,,2026-07-11T00:00:00.000Z,Listed for rent,2026-06-24T00:00:00.000Z,Contingent,2026-03-13T00:00:00.000Z,Listed for sale,,,,,,
"160 Bighorn Trl, Maumelle, AR 72113",160 Bighorn Trl,Maumelle,AR,,other,5,1884,,264300,74,https://www.zillow.com/homedetails/160-Bighorn-Trl-Maumelle-AR-72113/461212873_zpid/,,,2026-07-11T00:00:00.000Z,Listed for rent,2026-06-24T00:00:00.000Z,Contingent,2026-03-22T00:00:00.000Z,Listed for sale,,,,,,
"50 Swayze Rhys Ln, Cabot, AR 72023",50 Swayze Rhys Ln,Cabot,AR,,sold,4,1652,,217825,756,https://www.zillow.com/homedetails/50-Swayze-Rhys-Ln-Cabot-AR-72023/350308169_zpid/,,217825,2026-08-15T00:00:00.000Z,Listed for rent,2026-06-16T00:00:00.000Z,Listed for sale,2024-08-29T00:00:00.000Z,Sold,,,,,,
"714 S Spring St, Jacksonville, AR 72076",714 S Spring St,Jacksonville,AR,,forRent,2,1028,,1200,24,https://www.zillow.com/homedetails/714-S-Spring-St-Jacksonville-AR-72076/267071_zpid/,,15000,2026-08-30T00:00:00.000Z,Listed for rent,2024-10-04T00:00:00.000Z,Sold,,,,,,,,
"607 Timberline Rd, Jacksonville, AR 72076",607 Timberline Rd,Jacksonville,AR,,forRent,3,1305,,1700,18,https://www.zillow.com/homedetails/607-Timberline-Rd-Jacksonville-AR-72076/447645046_zpid/,,,2026-09-05T00:00:00.000Z,Listed for rent,,,,,,,,,,
"832 Pine Tree Rd, Jacksonville, AR 72076",832 Pine Tree Rd,Jacksonville,AR,,forRent,4,1559,,1995,63,https://www.zillow.com/homedetails/832-Pine-Tree-Rd-Jacksonville-AR-72076/463641836_zpid/,,,2026-07-22T00:00:00.000Z,Listed for rent,,,,,,,,,,
"821 Pine Tree Rd, Jacksonville, AR 72076",821 Pine Tree Rd,Jacksonville,AR,,forRent,3,1305,,1725,36,https://www.zillow.com/homedetails/821-Pine-Tree-Rd-Jacksonville-AR-72076/456373818_zpid/,,,2026-08-18T00:00:00.000Z,Listed for rent,,,,,,,,,,
"70 Kinley Brook Ln, Cabot, AR 72023",70 Kinley Brook Ln,Cabot,AR,,forRent,3,1012,,1550,43,https://www.zillow.com/homedetails/70-Kinley-Brook-Ln-Cabot-AR-72023/2055560788_zpid/,,175775,2026-08-11T00:00:00.000Z,Listed for rent,2024-02-27T00:00:00.000Z,Sold,,,,,,,,
"35 Foster Louis Ln, Cabot, AR 72023",35 Foster Louis Ln,Cabot,AR,,forRent,3,1234,,1455,26,https://www.zillow.com/homedetails/35-Foster-Louis-Ln-Cabot-AR-72023/349183675_zpid/,,,2026-08-28T00:00:00.000Z,Listed for rent,,,,,,,,,,
"100 Nona Ruth Ln, Cabot, AR 72023",100 Nona Ruth Ln,Cabot,AR,,forRent,4,1459,,1460,15,https://www.zillow.com/homedetails/100-Nona-Ruth-Ln-Cabot-AR-72023/463333811_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,,,,,,,,,,
"140 Nona Ruth Ln, Cabot, AR 72023",140 Nona Ruth Ln,Cabot,AR,,forRent,3,1402,,1410,9,https://www.zillow.com/homedetails/140-Nona-Ruth-Ln-Cabot-AR-72023/464348901_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,,,,,,,,,,
"115 Maddison Rachael, Cabot, AR 72023",115 Maddison Rachael,Cabot,AR,,forRent,3,1373,,1410,15,https://www.zillow.com/homedetails/115-Maddison-Rachael-Cabot-AR-72023/463940284_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,,,,,,,,,,
"60 Leruss Blvd, Cabot, AR 72023",60 Leruss Blvd,Cabot,AR,,forRent,3,1422,,1399,50,https://www.zillow.com/homedetails/60-Leruss-Blvd-Cabot-AR-72023/342062290_zpid/,,203000,2026-08-04T00:00:00.000Z,Listed for rent,2024-06-11T00:00:00.000Z,Sold,,,,,,,,
"155 Maddison Dr, Cabot, AR 72023",155 Maddison Dr,Cabot,AR,,forRent,4,1600,,1535,9,https://www.zillow.com/homedetails/155-Maddison-Dr-Cabot-AR-72023/465236137_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,,,,,,,,,,
"15 Vineyard Dr, Mayflower, AR 72106",15 Vineyard Dr,Mayflower,AR,,forRent,5,1867,,1855,14,https://www.zillow.com/homedetails/15-Vineyard-Dr-Mayflower-AR-72106/460693101_zpid/,,222000,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-24T00:00:00.000Z,Sold,,,,,,,,
"105 Maddison Rachael, Cabot, AR 72023",105 Maddison Rachael,Cabot,AR,,forRent,4,1459,,1460,15,https://www.zillow.com/homedetails/105-Maddison-Rachael-Cabot-AR-72023/463333812_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,,,,,,,,,,
"7 Cabernet Way, Mayflower, AR 72106",7 Cabernet Way,Mayflower,AR,,forRent,3,1290,,1550,21,https://www.zillow.com/homedetails/7-Cabernet-Way-Mayflower-AR-72106/463057997_zpid/,,208300,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,,,,,,,,
"120 Nona Ruth Ln, Cabot, AR 72023",120 Nona Ruth Ln,Cabot,AR,,forRent,3,1402,,1410,15,https://www.zillow.com/homedetails/120-Nona-Ruth-Ln-Cabot-AR-72023/464079221_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,,,,,,,,,,
