listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,bdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"21914 Aleutian Ave, Foley, AL 36535",21914 Aleutian Ave,Foley,AL,,forRent,3,1300,,2000,5,https://www.zillow.com/homedetails/21914-Aleutian-Ave-Foley-AL-36535/402599824_zpid/,,,290744,2026-09-17T00:00:00.000Z,Listed for rent,2024-09-23T00:00:00.000Z,Sold,2024-07-29T00:00:00.000Z,Pending sale,,,,,,
"19135 Pagoda Ln, Summerdale, AL 36580",19135 Pagoda Ln,Summerdale,AL,,forRent,4,1504,,2100,20,https://www.zillow.com/homedetails/19135-Pagoda-Ln-Summerdale-AL-36580/465006855_zpid/,,,,2026-09-03T00:00:00.000Z,Listed for rent,,,,,,,,,,
"24775 Raynagua Blvd, Loxley, AL 36551",24775 Raynagua Blvd,Loxley,AL,,forRent,4,2000,,1995,19,https://www.zillow.com/homedetails/24775-Raynagua-Blvd-Loxley-AL-36551/463944561_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-25T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for sale,,,,
"16404 Apricot Dr, Loxley, AL 36551",16404 Apricot Dr,Loxley,AL,,forRent,3,1550,,1750,19,https://www.zillow.com/homedetails/16404-Apricot-Dr-Loxley-AL-36551/462793552_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-25T00:00:00.000Z,Price change,2026-06-27T00:00:00.000Z,Price change,2026-06-23T00:00:00.000Z,Price change,2026-05-30T00:00:00.000Z,Listed for sale
"25128 Citrus Ct, Loxley, AL 36551",25128 Citrus Ct,Loxley,AL,,forRent,4,2000,,1995,11,https://www.zillow.com/homedetails/25128-Citrus-Ct-Loxley-AL-36551/465209730_zpid/,,,,2026-09-11T00:00:00.000Z,Listed for rent,,,,,,,,,,
"24759 Raynagua Blvd, Loxley, AL 36551",24759 Raynagua Blvd,Loxley,AL,,forRent,4,2142,,2090,19,https://www.zillow.com/homedetails/24759-Raynagua-Blvd-Loxley-AL-36551/463510991_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-25T00:00:00.000Z,Price change,2026-06-27T00:00:00.000Z,Listed for sale,,,,
"14627 Dayton Cir, Foley, AL 36535",14627 Dayton Cir,Foley,AL,,forRent,4,1770,,2400,34,https://www.zillow.com/homedetails/14627-Dayton-Cir-Foley-AL-36535/401863597_zpid/,,,,2026-09-18T00:00:00.000Z,Price change,2026-08-19T00:00:00.000Z,Listed for rent,2026-06-10T00:00:00.000Z,Listing removed,2026-05-20T00:00:00.000Z,Listed for rent,2025-10-13T00:00:00.000Z,Listing removed,2025-09-02T00:00:00.000Z,Listed for rent
"31543 Lyon Rd, Daphne, AL 36527",31543 Lyon Rd,Daphne,AL,,forRent,5,,,2600,45,https://www.zillow.com/homedetails/31543-Lyon-Rd-Daphne-AL-36527/456321716_zpid/,,,354500,2026-08-07T00:00:00.000Z,Listed for rent,2026-07-31T00:00:00.000Z,Sold,2026-03-10T00:00:00.000Z,Pending sale,2026-01-19T00:00:00.000Z,Price change,2025-12-12T00:00:00.000Z,Price change,2025-11-10T00:00:00.000Z,Price change
"16363 Apricot Dr, Loxley, AL 36551",16363 Apricot Dr,Loxley,AL,,forRent,4,2142,,2090,19,https://www.zillow.com/homedetails/16363-Apricot-Dr-Loxley-AL-36551/465041459_zpid/,,,,2026-09-04T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4144 Lost Bay Dr, Orange Beach, AL 36561",4144 Lost Bay Dr,Orange Beach,AL,,forRent,3,1437,,2200,29,https://www.zillow.com/homedetails/4144-Lost-Bay-Dr-Orange-Beach-AL-36561/461657857_zpid/,,,,2026-07-14T00:00:00.000Z,Price change,2026-04-11T00:00:00.000Z,Listed for rent,,,,,,,,
