bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,livingArea,price,propertyUrl
3,60,/homedetails/1670-Ryder-St-Conway-AR-72032/338960302_zpid/,FOR_RENT,,"1670 Ryder St, Conway, AR 72032",1670 Ryder St,1650,2026-06-04T00:00:00.000Z,Listed for rent,2025-03-14T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2024-12-31T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2023-01-25T00:00:00.000Z,Listing removed,2022-12-15T00:00:00.000Z,Listed for rent,,,,,,,,,,,1243,1650,https://www.zillow.com/homedetails/1670-Ryder-St-Conway-AR-72032/338960302_zpid/
3,13,/homedetails/1406-Bruce-St-Conway-AR-72034/235425_zpid/,FOR_RENT,87000,"1406 Bruce St, Conway, AR 72034",1406 Bruce St,2500,2026-07-21T00:00:00.000Z,Listed for rent,2025-09-27T00:00:00.000Z,Listing removed,2018-03-31T00:00:00.000Z,Listing removed,2018-03-24T00:00:00.000Z,Price change,2018-02-27T00:00:00.000Z,Price change,2018-02-08T00:00:00.000Z,Listed for rent,2018-02-08T00:00:00.000Z,Listing removed,2017-12-14T00:00:00.000Z,Listed for sale,2017-06-06T00:00:00.000Z,Sold,2017-05-03T00:00:00.000Z,Listed for sale,2015-04-09T00:00:00.000Z,Listing removed,2015-04-01T00:00:00.000Z,Listed for sale,2025-08-07T00:00:00.000Z,Listed for rent,2015-02-19T00:00:00.000Z,Listing removed,2014-10-09T00:00:00.000Z,Listed for sale,2014-06-03T00:00:00.000Z,Listing removed,2014-04-15T00:00:00.000Z,Price change,2014-02-25T00:00:00.000Z,Listed for sale,2010-06-02T00:00:00.000Z,Sold,2004-10-01T00:00:00.000Z,Sold,,,2024-06-24T00:00:00.000Z,Listing removed,2024-06-18T00:00:00.000Z,Listed for rent,2022-03-09T00:00:00.000Z,Listing removed,2022-02-19T00:00:00.000Z,Price change,2022-01-31T00:00:00.000Z,Listed for rent,2019-02-28T00:00:00.000Z,Listing removed,2019-02-09T00:00:00.000Z,Listed for rent,1500,2500,https://www.zillow.com/homedetails/1406-Bruce-St-Conway-AR-72034/235425_zpid/
3,60,/homedetails/1605-Ryder-St-Conway-AR-72032/2066411863_zpid/,FOR_RENT,,"1605 Ryder St, Conway, AR 72032",1605 Ryder St,1650,2026-06-22T00:00:00.000Z,Price change,2026-06-04T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,2022-04-19T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,2022-02-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,1243,1650,https://www.zillow.com/homedetails/1605-Ryder-St-Conway-AR-72032/2066411863_zpid/
3,13,/homedetails/2024-Weems-St-Conway-AR-72034/338960334_zpid/,FOR_RENT,,"2024 Weems St, Conway, AR 72034",2024 Weems St,2500,2026-07-21T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,https://www.zillow.com/homedetails/2024-Weems-St-Conway-AR-72034/338960334_zpid/
3,14,/homedetails/40-Ridge-Trl-Sherwood-AR-72120/232839_zpid/,FOR_RENT,230600,"40 Ridge Trl, Sherwood, AR 72120",40 Ridge Trl,1899,2026-07-20T00:00:00.000Z,Listed for rent,2026-06-17T00:00:00.000Z,Listing removed,2001-09-05T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,2026-06-02T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2025-09-19T00:00:00.000Z,Price change,2025-07-22T00:00:00.000Z,Price change,2025-06-24T00:00:00.000Z,Price change,2025-04-15T00:00:00.000Z,Price change,2025-03-14T00:00:00.000Z,Price change,2025-02-27T00:00:00.000Z,Listed for rent,2014-10-03T00:00:00.000Z,Sold,2200,1899,https://www.zillow.com/homedetails/40-Ridge-Trl-Sherwood-AR-72120/232839_zpid/
3,5,/homedetails/2135-Raintree-Dr-Conway-AR-72032/240139_zpid/,FOR_RENT,106000,"2135 Raintree Dr, Conway, AR 72032",2135 Raintree Dr,1435,2026-07-29T00:00:00.000Z,Listed for rent,2024-07-03T00:00:00.000Z,Listing removed,2013-11-15T00:00:00.000Z,Sold,2013-04-06T00:00:00.000Z,Listing removed,2013-03-20T00:00:00.000Z,Listed for rent,2008-04-30T00:00:00.000Z,Sold,,,,,,,,,,,,,2024-07-01T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2019-07-11T00:00:00.000Z,Listing removed,2019-07-03T00:00:00.000Z,Listed for rent,2019-05-01T00:00:00.000Z,Sold,2017-02-27T00:00:00.000Z,Listing removed,2017-02-24T00:00:00.000Z,Listed for rent,2015-01-18T00:00:00.000Z,Listing removed,2015-01-15T00:00:00.000Z,Listed for rent,1042,1435,https://www.zillow.com/homedetails/2135-Raintree-Dr-Conway-AR-72032/240139_zpid/
3,0,/homedetails/1250-Cumulus-Dr-Conway-AR-72034/242831_zpid/,FOR_RENT,470000,"1250 Cumulus Dr, Conway, AR 72034",1250 Cumulus Dr,1350,2026-08-03T00:00:00.000Z,Listed for rent,2015-03-27T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,2006-10-25T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,1350,https://www.zillow.com/homedetails/1250-Cumulus-Dr-Conway-AR-72034/242831_zpid/
3,118,/homedetails/2-Centennial-Loop-Greenbrier-AR-72058/461545841_zpid/,FOR_RENT,,"2 Centennial Loop, Greenbrier, AR 72058",2 Centennial Loop,1400,2026-04-07T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,1400,https://www.zillow.com/homedetails/2-Centennial-Loop-Greenbrier-AR-72058/461545841_zpid/
3,47,/homedetails/1405-Appalachain-Dr-Conway-AR-72034/35730407_zpid/,FOR_RENT,180500,"1405 Appalachain Dr, Conway, AR 72034",1405 Appalachain Dr,1450,2026-06-17T00:00:00.000Z,Listed for rent,2025-01-27T00:00:00.000Z,Listing removed,2022-04-20T00:00:00.000Z,Pending sale,2022-04-20T00:00:00.000Z,Contingent,2022-04-16T00:00:00.000Z,Listed for sale,2016-09-01T00:00:00.000Z,Sold,2016-08-01T00:00:00.000Z,Listed for sale,,,,,,,,,,,2024-10-29T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2024-09-04T00:00:00.000Z,Listed for rent,2023-09-26T00:00:00.000Z,Listing removed,2023-08-03T00:00:00.000Z,Price change,2023-06-22T00:00:00.000Z,Listed for rent,2022-07-05T00:00:00.000Z,Listing removed,2022-06-23T00:00:00.000Z,Listed for rent,2022-06-02T00:00:00.000Z,Sold,1145,1450,https://www.zillow.com/homedetails/1405-Appalachain-Dr-Conway-AR-72034/35730407_zpid/
3,12,/homedetails/115-Beckett-Mountain-Rd-Mount-Vernon-AR-72111/305852421_zpid/,FOR_RENT,129000,"115 Beckett Mountain Rd, Mount Vernon, AR 72111",115 Beckett Mountain Rd,2500,2026-07-22T00:00:00.000Z,Listed for rent,2006-01-09T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,2005-10-25T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619,2500,https://www.zillow.com/homedetails/115-Beckett-Mountain-Rd-Mount-Vernon-AR-72111/305852421_zpid/
