listingAddress/full,listingAddress/street,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"216 Chantilly Cir, Maumelle, AR 72113",216 Chantilly Cir,,3,1632,,2200,4,https://www.zillow.com/homedetails/216-Chantilly-Cir-Maumelle-AR-72113/328342_zpid/,,300000,2026-08-30T00:00:00.000Z,Listed for rent,2025-09-26T00:00:00.000Z,Listing removed,2025-09-19T00:00:00.000Z,Sold,2025-08-30T00:00:00.000Z,Listed for rent,2025-08-09T00:00:00.000Z,Listed for sale,2017-12-05T00:00:00.000Z,Listing removed,2017-10-21T00:00:00.000Z,Listed for sale,2015-07-13T00:00:00.000Z,Sold,2006-08-30T00:00:00.000Z,Sold,2003-10-15T00:00:00.000Z,Sold,2003-04-04T00:00:00.000Z,Sold,1997-10-13T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"127 Chambery Dr, Maumelle, AR 72113",127 Chambery Dr,,4,1651,,2500,0,https://www.zillow.com/homedetails/127-Chambery-Dr-Maumelle-AR-72113/122006196_zpid/,,,2026-09-03T00:00:00.000Z,Price change,2026-07-24T00:00:00.000Z,Listed for rent,2019-06-07T00:00:00.000Z,Listing removed,2019-03-21T00:00:00.000Z,Price change,2019-02-14T00:00:00.000Z,Listed for rent,2017-11-15T00:00:00.000Z,Listing removed,2017-08-30T00:00:00.000Z,Price change,2017-08-08T00:00:00.000Z,Price change,2017-04-27T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 Southland Dr, Maumelle, AR 72113",7 Southland Dr,,2,925,,850,65,https://www.zillow.com/homedetails/7-Southland-Dr-Maumelle-AR-72113/2109744736_zpid/,,,2026-06-30T00:00:00.000Z,Listed for rent,2018-07-15T00:00:00.000Z,Listing removed,2018-06-28T00:00:00.000Z,Listed for rent,2016-06-28T00:00:00.000Z,Listing removed,2014-12-12T00:00:00.000Z,Listing removed,2014-07-29T00:00:00.000Z,Listed for rent,2013-12-30T00:00:00.000Z,Listing removed,2013-11-27T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57 Stoneledge Dr, Maumelle, AR 72113",57 Stoneledge Dr,,4,1961,,1950,14,https://www.zillow.com/homedetails/57-Stoneledge-Dr-Maumelle-AR-72113/326028_zpid/,,145000,2026-08-21T00:00:00.000Z,Listed for rent,2024-06-09T00:00:00.000Z,Listing removed,2024-05-08T00:00:00.000Z,Listed for rent,2024-04-23T00:00:00.000Z,Sold,2024-04-06T00:00:00.000Z,Listed for sale,2013-09-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32 Cinderwood Cv, Maumelle, AR 72113",32 Cinderwood Cv,,3,2467,,1895,4,https://www.zillow.com/homedetails/32-Cinderwood-Cv-Maumelle-AR-72113/343619_zpid/,,505000,2026-08-30T00:00:00.000Z,Listed for rent,2025-10-09T00:00:00.000Z,Listing removed,2025-09-04T00:00:00.000Z,Price change,2025-08-30T00:00:00.000Z,Listed for rent,2016-07-22T00:00:00.000Z,Listing removed,2016-07-21T00:00:00.000Z,Price change,2016-06-17T00:00:00.000Z,Price change,2016-05-21T00:00:00.000Z,Listed for sale,2015-09-30T00:00:00.000Z,Sold,2008-05-09T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"263 Lake Valley Dr, Maumelle, AR 72113",263 Lake Valley Dr,,5,3100,,2600,6,https://www.zillow.com/homedetails/263-Lake-Valley-Dr-Maumelle-AR-72113/89031838_zpid/,,308200,2026-08-28T00:00:00.000Z,Listed for rent,2025-08-11T00:00:00.000Z,Listing removed,2025-07-23T00:00:00.000Z,Price change,2025-07-05T00:00:00.000Z,Listed for rent,2024-09-12T00:00:00.000Z,Listing removed,2024-08-20T00:00:00.000Z,Listed for rent,2024-08-14T00:00:00.000Z,Listing removed,2024-08-12T00:00:00.000Z,Listed for rent,2023-06-29T00:00:00.000Z,Listing removed,2023-06-08T00:00:00.000Z,Listed for rent,2019-09-12T00:00:00.000Z,Sold,2019-08-27T00:00:00.000Z,Pending sale,2019-08-02T00:00:00.000Z,Price change,2019-07-11T00:00:00.000Z,Price change,2019-06-07T00:00:00.000Z,Price change,2019-05-23T00:00:00.000Z,Price change,2019-04-25T00:00:00.000Z,Price change,2019-04-11T00:00:00.000Z,Price change,2019-03-27T00:00:00.000Z,Price change,2019-03-06T00:00:00.000Z,Price change,2019-02-07T00:00:00.000Z,Price change,2019-01-16T00:00:00.000Z,Price change,2018-12-17T00:00:00.000Z,Listed for sale,2018-10-23T00:00:00.000Z,Listing removed,2013-04-17T00:00:00.000Z,Sold,2010-03-01T00:00:00.000Z,Sold,2008-08-04T00:00:00.000Z,Sold,2008-03-04T00:00:00.000Z,Sold
"61 Pin Oak Loop, Maumelle, AR 72113",61 Pin Oak Loop,,3,1173,,1495,62,https://www.zillow.com/homedetails/61-Pin-Oak-Loop-Maumelle-AR-72113/326810_zpid/,,175000,2026-08-14T00:00:00.000Z,Price change,2026-08-12T00:00:00.000Z,Price change,2026-07-03T00:00:00.000Z,Listed for rent,2024-04-25T00:00:00.000Z,Listing removed,2024-04-09T00:00:00.000Z,Listed for rent,2023-02-09T00:00:00.000Z,Listing removed,2022-12-28T00:00:00.000Z,Price change,2022-10-26T00:00:00.000Z,Listed for rent,2022-09-30T00:00:00.000Z,Sold,2022-08-28T00:00:00.000Z,Contingent,2022-08-26T00:00:00.000Z,Listed for sale,2018-04-24T00:00:00.000Z,Sold,2018-03-07T00:00:00.000Z,Price change,2018-02-07T00:00:00.000Z,Listed for sale,2017-06-08T00:00:00.000Z,Listing removed,2017-05-10T00:00:00.000Z,Listed for sale,2014-05-05T00:00:00.000Z,Sold,2011-07-04T00:00:00.000Z,Listing removed,2011-06-09T00:00:00.000Z,Listed for sale,2006-08-02T00:00:00.000Z,Sold,2003-05-01T00:00:00.000Z,Sold,2000-09-22T00:00:00.000Z,Sold,,,,,,,,,,,,
"11 Page Cv, Maumelle, AR 72113",11 Page Cv,,3,1294,,1695,1,https://www.zillow.com/homedetails/11-Page-Cv-Maumelle-AR-72113/326629_zpid/,,222125,2026-09-02T00:00:00.000Z,Listed for rent,2019-05-21T00:00:00.000Z,Listing removed,2019-02-11T00:00:00.000Z,Listed for rent,2017-11-18T00:00:00.000Z,Listing removed,2017-10-06T00:00:00.000Z,Price change,2017-09-16T00:00:00.000Z,Price change,2017-08-12T00:00:00.000Z,Listed for rent,2017-04-01T00:00:00.000Z,Listing removed,2017-02-23T00:00:00.000Z,Listed for rent,2016-01-29T00:00:00.000Z,Listing removed,2016-01-13T00:00:00.000Z,Listed for rent,2014-01-01T00:00:00.000Z,Sold,1983-10-01T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Stoneledge Dr, Maumelle, AR 72113",5 Stoneledge Dr,,3,1755,,1850,20,https://www.zillow.com/homedetails/5-Stoneledge-Dr-Maumelle-AR-72113/326005_zpid/,,240000,2026-08-14T00:00:00.000Z,Listed for rent,2025-04-10T00:00:00.000Z,Listing removed,2025-03-28T00:00:00.000Z,Listed for rent,2025-02-06T00:00:00.000Z,Sold,2024-11-23T00:00:00.000Z,Listing removed,2024-07-30T00:00:00.000Z,Listed for rent,2015-02-24T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"81 Oak Forest Loop, Maumelle, AR 72113",81 Oak Forest Loop,,3,1300,,1700,45,https://www.zillow.com/homedetails/81-Oak-Forest-Loop-Maumelle-AR-72113/326542_zpid/,,145000,2026-07-20T00:00:00.000Z,Listed for rent,2021-01-15T00:00:00.000Z,Sold,2012-10-11T00:00:00.000Z,Sold,1997-04-16T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
