listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,bdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"225 Ebenezer Rd, Kings Mountain, NC 28086",225 Ebenezer Rd,Kings Mountain,NC,,other,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/225-ebenezer-rd-/CqBmQB/,,,,,,,,,,,,,,,
"311 E King St, Kings Mountain, NC 28086",311 E King St,Kings Mountain,NC,,forRent,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/sh368-the-towns-at-kings-mountain/9Pm8gB/,,,,,,,,,,,,,,,
"107 Kings Oak Cir, Kings Mountain, NC 28086",107 Kings Oak Cir,Kings Mountain,NC,,forRent,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/cambridge-oaks-ii-apts/ChKpLx/,,,,,,,,,,,,,,,
"48 Julian St, Kings Mountain, NC 28086",48 Julian St,Kings Mountain,NC,,forRent,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/48-julian-street/5Yrsd5/,,,,,,,,,,,,,,,
"111 Wells St, Kings Mountain, NC 28086",111 Wells St,Kings Mountain,NC,,other,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/111-wells-st/9BMCmy/,,,,,,,,,,,,,,,
"140 W Mountain St, Kings Mountain, NC 28086",140 W Mountain St,Kings Mountain,NC,,forRent,,,,,,https://www.zillow.com/apartments/kings-mountain-nc/140-w-mountain-st/CFTcnh/,,,,,,,,,,,,,,,
"1431 Mammoth Rd, Hickory, NC 28602",1431 Mammoth Rd,Hickory,NC,,forRent,5,2368,,2245,22,https://www.zillow.com/homedetails/1431-Mammoth-Rd-Hickory-NC-28602/455924046_zpid/,,,307679,2026-09-11T00:00:00.000Z,Price change,2026-09-01T00:00:00.000Z,Listed for rent,2026-08-31T00:00:00.000Z,Sold,2026-07-20T00:00:00.000Z,Pending sale,2026-07-14T00:00:00.000Z,Price change,2026-06-30T00:00:00.000Z,Price change
"1423 Mammoth Rd, Hickory, NC 28602",1423 Mammoth Rd,Hickory,NC,,forRent,4,1927,,2095,72,https://www.zillow.com/homedetails/1423-Mammoth-Rd-Hickory-NC-28602/461722831_zpid/,,,,2026-09-11T00:00:00.000Z,Price change,2026-07-14T00:00:00.000Z,Listed for rent,2026-05-26T00:00:00.000Z,Listing removed,2026-05-19T00:00:00.000Z,Price change,2026-04-15T00:00:00.000Z,Listed for sale,,
"1419 Mammoth Rd, Hickory, NC 28602",1419 Mammoth Rd,Hickory,NC,,forRent,5,2368,,2275,21,https://www.zillow.com/homedetails/1419-Mammoth-Rd-Hickory-NC-28602/461722721_zpid/,,,292400,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-04-15T00:00:00.000Z,Listed for sale,,,,
"4099 Oxford Glen Dr, Claremont, NC 28610",4099 Oxford Glen Dr,Claremont,NC,,forRent,4,1956,,1945,16,https://www.zillow.com/homedetails/4099-Oxford-Glen-Dr-Claremont-NC-28610/465094294_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4102 Oxford Glen Dr, Claremont, NC 28610",4102 Oxford Glen Dr,Claremont,NC,,forRent,3,1665,,1800,16,https://www.zillow.com/homedetails/4102-Oxford-Glen-Dr-Claremont-NC-28610/465094280_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4108 Oxford Glen Dr, Claremont, NC 28610",4108 Oxford Glen Dr,Claremont,NC,,forRent,5,2578,,2135,16,https://www.zillow.com/homedetails/4108-Oxford-Glen-Dr-Claremont-NC-28610/465094285_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4117 Oxford Glen Dr, Claremont, NC 28610",4117 Oxford Glen Dr,Claremont,NC,,forRent,3,1665,,1800,16,https://www.zillow.com/homedetails/4117-Oxford-Glen-Dr-Claremont-NC-28610/465094291_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4126 Oxford Glen Dr, Claremont, NC 28610",4126 Oxford Glen Dr,Claremont,NC,,forRent,5,2578,,2135,16,https://www.zillow.com/homedetails/4126-Oxford-Glen-Dr-Claremont-NC-28610/465094293_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4105 Oxford Glen Dr, Claremont, NC 28610",4105 Oxford Glen Dr,Claremont,NC,,forRent,5,2578,,2135,16,https://www.zillow.com/homedetails/4105-Oxford-Glen-Dr-Claremont-NC-28610/465094283_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4114 Oxford Glen Dr, Claremont, NC 28610",4114 Oxford Glen Dr,Claremont,NC,,forRent,4,2307,,1990,16,https://www.zillow.com/homedetails/4114-Oxford-Glen-Dr-Claremont-NC-28610/465094287_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4093 Oxford Glen Dr, Claremont, NC 28610",4093 Oxford Glen Dr,Claremont,NC,,forRent,4,2213,,1990,16,https://www.zillow.com/homedetails/4093-Oxford-Glen-Dr-Claremont-NC-28610/464050697_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-08-06T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Price change,2026-07-22T00:00:00.000Z,Listed for sale,,
"4081 Oxford Glen Dr, Claremont, NC 28610",4081 Oxford Glen Dr,Claremont,NC,,forRent,4,2307,,1990,16,https://www.zillow.com/homedetails/4081-Oxford-Glen-Dr-Claremont-NC-28610/465094290_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4096 Oxford Glen Dr, Claremont, NC 28610",4096 Oxford Glen Dr,Claremont,NC,,forRent,4,2307,,1990,16,https://www.zillow.com/homedetails/4096-Oxford-Glen-Dr-Claremont-NC-28610/465094295_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4078 Oxford Glen Dr, Claremont, NC 28610",4078 Oxford Glen Dr,Claremont,NC,,forRent,5,2578,,2135,16,https://www.zillow.com/homedetails/4078-Oxford-Glen-Dr-Claremont-NC-28610/465094289_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
"4084 Oxford Glen Dr, Claremont, NC 28610",4084 Oxford Glen Dr,Claremont,NC,,forRent,3,1665,,1800,16,https://www.zillow.com/homedetails/4084-Oxford-Glen-Dr-Claremont-NC-28610/465094279_zpid/,,,,2026-09-08T00:00:00.000Z,Listed for rent,,,,,,,,,,
