listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"15 Silverado Ct, Cabot, AR 72023",15 Silverado Ct,Cabot,AR,,forRent,3,1382,,1350,35,https://www.zillow.com/homedetails/15-Silverado-Ct-Cabot-AR-72023/35732243_zpid/,,150000,2026-08-20T00:00:00.000Z,Listed for rent,2024-11-11T00:00:00.000Z,Listing removed,2024-09-27T00:00:00.000Z,Listed for rent,2022-10-26T00:00:00.000Z,Sold,2020-12-16T00:00:00.000Z,Listing removed,2020-12-08T00:00:00.000Z,Listed for rent
"74 Lakeland Dr, Cabot, AR 72023",74 Lakeland Dr,Cabot,AR,,forRent,3,2477,,2100,0,https://www.zillow.com/homedetails/74-Lakeland-Dr-Cabot-AR-72023/72179771_zpid/,,,2026-09-24T00:00:00.000Z,Listed for rent,2026-01-27T00:00:00.000Z,Listing removed,2026-01-12T00:00:00.000Z,Listed for rent,2025-03-14T00:00:00.000Z,Listing removed,2025-03-10T00:00:00.000Z,Listed for rent,2025-03-10T00:00:00.000Z,Listing removed
"831 Richfield Rd, Jacksonville, AR 72076",831 Richfield Rd,Jacksonville,AR,,forRent,3,,,1400,5,https://www.zillow.com/homedetails/831-Richfield-Rd-Jacksonville-AR-72076/250171_zpid/,,0,2026-09-19T00:00:00.000Z,Listed for rent,2014-08-18T00:00:00.000Z,Sold,,,,,,,,
"21 Meadowlark Dr, Cabot, AR 72023",21 Meadowlark Dr,Cabot,AR,,forRent,3,1013,,1395,44,https://www.zillow.com/homedetails/21-Meadowlark-Dr-Cabot-AR-72023/255213_zpid/,,147900,2026-08-12T00:00:00.000Z,Listed for rent,2024-01-16T00:00:00.000Z,Listing removed,2024-01-04T00:00:00.000Z,Sold,2023-08-22T00:00:00.000Z,Sold,2023-07-17T00:00:00.000Z,Contingent,2023-05-12T00:00:00.000Z,Listed for sale
"18 War Eagle Dr, Cabot, AR 72023",18 War Eagle Dr,Cabot,AR,,forRent,3,1278,,1300,2,https://www.zillow.com/homedetails/18-War-Eagle-Dr-Cabot-AR-72023/35732196_zpid/,,130000,2026-09-23T00:00:00.000Z,Listing removed,2026-09-22T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Listed for sale,2026-08-25T00:00:00.000Z,Listing removed,2026-08-18T00:00:00.000Z,Price change,2026-08-01T00:00:00.000Z,Listed for sale
"42 Winners Cir, Cabot, AR 72023",42 Winners Cir,Cabot,AR,,forRent,3,1521,,1850,14,https://www.zillow.com/homedetails/42-Winners-Cir-Cabot-AR-72023/72176611_zpid/,,196500,2026-08-07T00:00:00.000Z,Listed for rent,2025-10-07T00:00:00.000Z,Listing removed,2025-09-15T00:00:00.000Z,Listed for rent,2025-07-09T00:00:00.000Z,Sold,2025-04-28T00:00:00.000Z,Price change,2025-04-14T00:00:00.000Z,Price change
"17 Farrah St, Ward, AR 72176",17 Farrah St,Ward,AR,,forRent,3,1563,,1250,107,https://www.zillow.com/homedetails/17-Farrah-St-Ward-AR-72176/52495486_zpid/,,,2026-06-09T00:00:00.000Z,Listed for rent,2025-05-24T00:00:00.000Z,Listing removed,2025-05-06T00:00:00.000Z,Price change,2025-04-20T00:00:00.000Z,Listed for rent,2017-02-23T00:00:00.000Z,Listing removed,2017-02-17T00:00:00.000Z,Listed for rent
"36 Stonehaven Dr, Cabot, AR 72023",36 Stonehaven Dr,Cabot,AR,,forRent,3,1360,,1350,3,https://www.zillow.com/homedetails/36-Stonehaven-Dr-Cabot-AR-72023/72176066_zpid/,,,2026-09-21T00:00:00.000Z,Listed for rent,2024-09-13T00:00:00.000Z,Listing removed,2024-07-31T00:00:00.000Z,Listed for rent,2023-04-21T00:00:00.000Z,Listing removed,2023-04-16T00:00:00.000Z,Listed for rent,2023-03-23T00:00:00.000Z,Listing removed
"27 Trinity Dr, Cabot, AR 72023",27 Trinity Dr,Cabot,AR,,forRent,3,1442,,1525,34,https://www.zillow.com/homedetails/27-Trinity-Dr-Cabot-AR-72023/113948501_zpid/,,,2026-08-21T00:00:00.000Z,Listed for rent,2025-09-11T00:00:00.000Z,Listing removed,2025-07-29T00:00:00.000Z,Price change,2025-07-03T00:00:00.000Z,Listed for rent,,,,
"11 W Plaza Blvd, Cabot, AR 72023",11 W Plaza Blvd,Cabot,AR,,forRent,3,1487,,1525,31,https://www.zillow.com/homedetails/11-W-Plaza-Blvd-Cabot-AR-72023/256262_zpid/,,229049,2026-08-24T00:00:00.000Z,Listed for rent,2024-09-13T00:00:00.000Z,Listing removed,2024-07-02T00:00:00.000Z,Listed for rent,2013-02-26T00:00:00.000Z,Sold,,,,
