listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/28/date,listingPriceHistory/28/event,listingPriceHistory/29/date,listingPriceHistory/29/event
"22869 Dashwood Ln, Athens, AL 35613",22869 Dashwood Ln,Athens,AL,,forRent,3,1474,,1595,34,https://www.zillow.com/homedetails/22869-Dashwood-Ln-Athens-AL-35613/463584639_zpid/,,,2026-09-16T00:00:00.000Z,Price change,2026-08-21T00:00:00.000Z,Listed for rent,2026-07-20T00:00:00.000Z,Listing removed,2026-07-11T00:00:00.000Z,Price change,2026-07-01T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22845 Dashwood Ln, Athens, AL 35613",22845 Dashwood Ln,Athens,AL,,forRent,4,1667,,1995,67,https://www.zillow.com/homedetails/22845-Dashwood-Ln-Athens-AL-35613/463987106_zpid/,,,2026-07-19T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1321 Eidson St, Athens, AL 35611",1321 Eidson St,Athens,AL,,forRent,4,2108,,1976,29,https://www.zillow.com/homedetails/1321-Eidson-St-Athens-AL-35611/461391359_zpid/,,340607,2026-09-18T00:00:00.000Z,Price change,2026-08-26T00:00:00.000Z,Sold,2026-08-26T00:00:00.000Z,Listed for rent,2026-08-01T00:00:00.000Z,Pending sale,2026-03-30T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1329 Eidson St, Athens, AL 35611",1329 Eidson St,Athens,AL,,forRent,5,2092,,2195,29,https://www.zillow.com/homedetails/1329-Eidson-St-Athens-AL-35611/462417137_zpid/,,337164,2026-08-26T00:00:00.000Z,Sold,2026-08-26T00:00:00.000Z,Listed for rent,2026-08-01T00:00:00.000Z,Pending sale,2026-05-13T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123 Trestle Point Dr, Harvest, AL 35749",123 Trestle Point Dr,Harvest,AL,,forRent,4,1497,,2454,1,https://www.zillow.com/homedetails/123-Trestle-Point-Dr-Harvest-AL-35749/452148459_zpid/,,257900,2026-09-23T00:00:00.000Z,Listed for rent,2025-10-17T00:00:00.000Z,Sold,2025-07-17T00:00:00.000Z,Pending sale,2025-07-11T00:00:00.000Z,Price change,2025-05-20T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22754 Dashwood Ln, Athens, AL 35613",22754 Dashwood Ln,Athens,AL,,forRent,3,1474,,1595,20,https://www.zillow.com/homedetails/22754-Dashwood-Ln-Athens-AL-35613/464212597_zpid/,,,2026-09-24T00:00:00.000Z,Price change,2026-09-04T00:00:00.000Z,Listed for rent,2026-07-30T00:00:00.000Z,Listing removed,2026-07-29T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22857 Dashwood Ln, Athens, AL 35613",22857 Dashwood Ln,Athens,AL,,forRent,4,1853,,1795,52,https://www.zillow.com/homedetails/22857-Dashwood-Ln-Athens-AL-35613/464300642_zpid/,,,2026-09-02T00:00:00.000Z,Price change,2026-08-03T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22821 Dashwood Ln, Athens, AL 35613",22821 Dashwood Ln,Athens,AL,,forRent,3,1474,,1795,1,https://www.zillow.com/homedetails/22821-Dashwood-Ln-Athens-AL-35613/460981834_zpid/,,,2026-09-24T00:00:00.000Z,Listed for rent,2026-09-01T00:00:00.000Z,Listing removed,2026-08-04T00:00:00.000Z,Listing removed,2026-08-04T00:00:00.000Z,Listed for rent,2026-07-14T00:00:00.000Z,Pending sale,2026-07-11T00:00:00.000Z,Price change,2026-06-19T00:00:00.000Z,Price change,2026-05-01T00:00:00.000Z,Price change,2026-03-31T00:00:00.000Z,Price change,2026-03-11T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"307 Susan Lynn Dr, Meridianville, AL 35759",307 Susan Lynn Dr,Meridianville,AL,,forRent,4,2571,,2490,19,https://www.zillow.com/homedetails/307-Susan-Lynn-Dr-Meridianville-AL-35759/461000877_zpid/,,,2026-09-05T00:00:00.000Z,Listed for rent,2026-07-26T00:00:00.000Z,Listing removed,2026-07-17T00:00:00.000Z,Listed for sale,2026-07-12T00:00:00.000Z,Listing removed,2026-07-11T00:00:00.000Z,Price change,2026-05-26T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-03-12T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"180 Keller Dr, Hazel Green, AL 35750",180 Keller Dr,Hazel Green,AL,,forRent,5,2092,,1995,29,https://www.zillow.com/homedetails/180-Keller-Dr-Hazel-Green-AL-35750/459340709_zpid/,,314907,2026-08-26T00:00:00.000Z,Sold,2026-08-26T00:00:00.000Z,Listed for rent,2026-08-01T00:00:00.000Z,Pending sale,2026-03-23T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"144 Whitner Dr, Hazel Green, AL 35750",144 Whitner Dr,Hazel Green,AL,,forRent,4,1666,,1795,15,https://www.zillow.com/homedetails/144-Whitner-Dr-Hazel-Green-AL-35750/459340450_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-02T00:00:00.000Z,Listing removed,2026-07-31T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"309 Susan Lynn Dr, Meridianville, AL 35759",309 Susan Lynn Dr,Meridianville,AL,,forRent,4,2172,,2150,14,https://www.zillow.com/homedetails/309-Susan-Lynn-Dr-Meridianville-AL-35759/460562436_zpid/,,,2026-09-11T00:00:00.000Z,Listed for rent,2026-08-21T00:00:00.000Z,Listing removed,2026-07-10T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale,2026-04-06T00:00:00.000Z,Listing removed,2026-03-22T00:00:00.000Z,Price change,2026-02-20T00:00:00.000Z,Price change,2026-02-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"311 Susan Lynn Dr, Meridianville, AL 35759",311 Susan Lynn Dr,Meridianville,AL,,forRent,4,1938,,2000,29,https://www.zillow.com/homedetails/311-Susan-Lynn-Dr-Meridianville-AL-35759/460562446_zpid/,,,2026-08-31T00:00:00.000Z,Price change,2026-08-26T00:00:00.000Z,Listed for rent,2026-05-27T00:00:00.000Z,Listing removed,2026-05-26T00:00:00.000Z,Price change,2026-03-22T00:00:00.000Z,Price change,2026-02-20T00:00:00.000Z,Price change,2026-02-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"315 Susan Lynn Dr, Meridianville, AL 35759",315 Susan Lynn Dr,Meridianville,AL,,forRent,4,2571,,2350,19,https://www.zillow.com/homedetails/315-Susan-Lynn-Dr-Meridianville-AL-35759/460562435_zpid/,,,2026-09-22T00:00:00.000Z,Price change,2026-09-05T00:00:00.000Z,Listed for rent,2026-04-06T00:00:00.000Z,Listing removed,2026-03-22T00:00:00.000Z,Price change,2026-02-20T00:00:00.000Z,Price change,2026-02-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"133 Whitner Dr, Hazel Green, AL 35750",133 Whitner Dr,Hazel Green,AL,,forRent,4,1892,,1900,43,https://www.zillow.com/homedetails/133-Whitner-Dr-Hazel-Green-AL-35750/459340446_zpid/,,260000,2026-08-25T00:00:00.000Z,Price change,2026-08-12T00:00:00.000Z,Listed for rent,2026-08-05T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
