bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,livingArea,price,propertyUrl
3,0,/homedetails/17-Greenbrier-Dr-Benton-AR-72015/386172_zpid/,FOR_RENT,143000,"17 Greenbrier Dr, Benton, AR 72015",17 Greenbrier Dr,1625,2026-08-03T00:00:00.000Z,Listed for rent,2026-02-23T00:00:00.000Z,Listing removed,2021-12-31T00:00:00.000Z,Listed for rent,2021-11-19T00:00:00.000Z,Sold,2014-09-17T00:00:00.000Z,Listing removed,2014-07-15T00:00:00.000Z,Listed for rent,2007-07-20T00:00:00.000Z,Sold,2006-08-01T00:00:00.000Z,Sold,,,,,,,,,2026-02-19T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2026-01-29T00:00:00.000Z,Price change,2026-01-15T00:00:00.000Z,Price change,2025-12-30T00:00:00.000Z,Price change,2025-11-24T00:00:00.000Z,Listed for rent,2024-10-01T00:00:00.000Z,Listing removed,2024-08-29T00:00:00.000Z,Listed for rent,2022-03-07T00:00:00.000Z,Listing removed,1460,1625,https://www.zillow.com/homedetails/17-Greenbrier-Dr-Benton-AR-72015/386172_zpid/
3,0,/homedetails/3005-Chapman-Ct-Bryant-AR-72022/116220648_zpid/,FOR_RENT,224500,"3005 Chapman Ct, Bryant, AR 72022",3005 Chapman Ct,2100,2026-08-03T00:00:00.000Z,Listed for rent,2025-09-21T00:00:00.000Z,Listing removed,2022-08-12T00:00:00.000Z,Listed for rent,2022-07-28T00:00:00.000Z,Price change,2022-07-23T00:00:00.000Z,Listed for sale,2012-07-16T00:00:00.000Z,Sold,2012-01-19T00:00:00.000Z,Sold,,,,,,,,,,,2025-09-09T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2025-08-02T00:00:00.000Z,Listed for rent,2024-10-14T00:00:00.000Z,Listing removed,2024-07-01T00:00:00.000Z,Listing removed,2024-06-08T00:00:00.000Z,Listed for rent,2022-09-21T00:00:00.000Z,Listing removed,2022-09-15T00:00:00.000Z,Price change,2022-09-01T00:00:00.000Z,Sold,1588,2100,https://www.zillow.com/homedetails/3005-Chapman-Ct-Bryant-AR-72022/116220648_zpid/
3,6,/homedetails/5-Hickory-Ln-Maumelle-AR-72113/326945_zpid/,FOR_RENT,149500,"5 Hickory Ln, Maumelle, AR 72113",5 Hickory Ln,1625,2026-07-28T00:00:00.000Z,Listed for rent,2025-07-23T00:00:00.000Z,Listing removed,2022-10-04T00:00:00.000Z,Listed for rent,2021-05-20T00:00:00.000Z,Sold,2014-07-25T00:00:00.000Z,Sold,2005-02-22T00:00:00.000Z,Sold,,,,,,,,,,,,,2025-07-09T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2024-05-28T00:00:00.000Z,Listing removed,2024-05-23T00:00:00.000Z,Listed for rent,2024-05-23T00:00:00.000Z,Listing removed,2024-05-10T00:00:00.000Z,Listed for rent,2022-11-09T00:00:00.000Z,Listing removed,2022-10-20T00:00:00.000Z,Price change,2022-10-13T00:00:00.000Z,Price change,1411,1625,https://www.zillow.com/homedetails/5-Hickory-Ln-Maumelle-AR-72113/326945_zpid/
3,14,/homedetails/81-Oak-Forest-Loop-Maumelle-AR-72113/326542_zpid/,FOR_RENT,145000,"81 Oak Forest Loop, Maumelle, AR 72113",81 Oak Forest Loop,1700,2026-07-20T00:00:00.000Z,Listed for rent,2021-01-15T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,2012-10-11T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,1997-04-16T00:00:00.000Z,Sold,,,,,,,,,,,,,1300,1700,https://www.zillow.com/homedetails/81-Oak-Forest-Loop-Maumelle-AR-72113/326542_zpid/
4,0,/homedetails/6065-Discovery-Trl-Bauxite-AR-72011/442588179_zpid/,FOR_RENT,192660,"6065 Discovery Trl, Bauxite, AR 72011",6065 Discovery Trl,1595,2026-08-03T00:00:00.000Z,Listed for rent,2025-07-01T00:00:00.000Z,Listing removed,2024-12-14T00:00:00.000Z,Listed for sale,2024-11-22T00:00:00.000Z,Listing removed,2024-11-14T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,2025-05-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,2025-05-09T00:00:00.000Z,Sold,2025-05-01T00:00:00.000Z,Contingent,2025-04-15T00:00:00.000Z,Price change,2025-04-04T00:00:00.000Z,Price change,2025-03-07T00:00:00.000Z,Price change,2025-02-28T00:00:00.000Z,Price change,2025-01-30T00:00:00.000Z,Price change,1459,1595,https://www.zillow.com/homedetails/6065-Discovery-Trl-Bauxite-AR-72011/442588179_zpid/
4,0,/homedetails/2510-Eagle-Run-Benton-AR-72015/383043_zpid/,FOR_RENT,135000,"2510 Eagle Run, Benton, AR 72015",2510 Eagle Run,1695,2026-08-03T00:00:00.000Z,Listed for rent,2025-07-19T00:00:00.000Z,Listing removed,2019-12-08T00:00:00.000Z,Price change,2019-12-07T00:00:00.000Z,Price change,2019-12-04T00:00:00.000Z,Price change,2019-12-01T00:00:00.000Z,Price change,2019-11-30T00:00:00.000Z,Price change,2019-11-29T00:00:00.000Z,Price change,2019-11-26T00:00:00.000Z,Price change,2019-11-25T00:00:00.000Z,Price change,2019-11-23T00:00:00.000Z,Price change,2019-11-19T00:00:00.000Z,Price change,2025-07-10T00:00:00.000Z,Price change,2019-11-17T00:00:00.000Z,Price change,2019-11-13T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,2025-07-02T00:00:00.000Z,Price change,2025-06-26T00:00:00.000Z,Price change,2025-04-30T00:00:00.000Z,Listed for rent,2024-04-10T00:00:00.000Z,Listing removed,2024-04-04T00:00:00.000Z,Listed for rent,2021-07-09T00:00:00.000Z,Sold,2019-12-11T00:00:00.000Z,Sold,1644,1695,https://www.zillow.com/homedetails/2510-Eagle-Run-Benton-AR-72015/383043_zpid/
4,54,/homedetails/12239-Skyview-Dr-Bauxite-AR-72011/71715798_zpid/,FOR_RENT,135000,"12239 Skyview Dr, Bauxite, AR 72011",12239 Skyview Dr,1725,2026-07-30T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,2024-05-15T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,2021-02-06T00:00:00.000Z,Sold,2020-10-27T00:00:00.000Z,Price change,2020-09-10T00:00:00.000Z,Listed for sale,2008-07-10T00:00:00.000Z,Sold,,,,,,,1600,1725,https://www.zillow.com/homedetails/12239-Skyview-Dr-Bauxite-AR-72011/71715798_zpid/
3,7,/homedetails/227-Iris-St-Haskell-AR-72015/2060765172_zpid/,FOR_RENT,195000,"227 Iris St, Haskell, AR 72015",227 Iris St,1795,2026-07-27T00:00:00.000Z,Listed for rent,2023-02-16T00:00:00.000Z,Listing removed,,,,,,,,,,,,,,,,,,,,,2023-02-08T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2023-01-26T00:00:00.000Z,Price change,2022-12-09T00:00:00.000Z,Listed for rent,2022-11-10T00:00:00.000Z,Sold,,,,,,,,,1420,1795,https://www.zillow.com/homedetails/227-Iris-St-Haskell-AR-72015/2060765172_zpid/
4,6,/homedetails/5399-Heritage-Valley-Dr-Benton-AR-72019/2062299989_zpid/,FOR_RENT,245000,"5399 Heritage Valley Dr, Benton, AR 72019",5399 Heritage Valley Dr,2000,2026-07-27T00:00:00.000Z,Listed for rent,2026-07-15T00:00:00.000Z,Listing removed,2024-11-30T00:00:00.000Z,Price change,2024-10-04T00:00:00.000Z,Price change,2024-09-29T00:00:00.000Z,Price change,2024-09-07T00:00:00.000Z,Listed for sale,2022-08-29T00:00:00.000Z,Sold,,,,,,,,,,,2026-05-22T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2026-04-02T00:00:00.000Z,Listed for sale,2026-04-01T00:00:00.000Z,Listing removed,2025-11-06T00:00:00.000Z,Price change,2025-10-13T00:00:00.000Z,Price change,2025-10-04T00:00:00.000Z,Listed for sale,2025-02-24T00:00:00.000Z,Sold,2025-02-05T00:00:00.000Z,Contingent,1790,2000,https://www.zillow.com/homedetails/5399-Heritage-Valley-Dr-Benton-AR-72019/2062299989_zpid/
3,5,/homedetails/4056-Kings-River-Trl-Bauxite-AR-72011/2062403626_zpid/,FOR_RENT,200660,"4056 Kings River Trl, Bauxite, AR 72011",4056 Kings River Trl,1545,2026-07-29T00:00:00.000Z,Listed for rent,2023-02-11T00:00:00.000Z,Listing removed,2022-08-04T00:00:00.000Z,Price change,2022-07-26T00:00:00.000Z,Price change,2022-07-21T00:00:00.000Z,Listed for sale,2022-07-18T00:00:00.000Z,Listing removed,2022-07-13T00:00:00.000Z,Listed for sale,,,,,,,,,,,2023-02-03T00:00:00.000Z,Price change,,,,,,,,,,,,,,,,,2023-01-11T00:00:00.000Z,Price change,2022-12-14T00:00:00.000Z,Price change,2022-11-22T00:00:00.000Z,Price change,2022-11-10T00:00:00.000Z,Listed for rent,2022-10-28T00:00:00.000Z,Sold,2022-10-08T00:00:00.000Z,Contingent,2022-08-24T00:00:00.000Z,Price change,1480,1545,https://www.zillow.com/homedetails/4056-Kings-River-Trl-Bauxite-AR-72011/2062403626_zpid/
