bedrooms,daysOnZillow,hdpUrl,homeStatus,lastSoldPrice,listingAddress/full,listingAddress/street,listingPrice/amount,livingArea,price,propertyUrl,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
4,15,/homedetails/6032-Orange-Valley-Cv-Mabelvale-AR-72103/2062762647_zpid/,FOR_RENT,,"6032 Orange Valley Cv, Mabelvale, AR 72103",6032 Orange Valley Cv,1675,1504,1675,https://www.zillow.com/homedetails/6032-Orange-Valley-Cv-Mabelvale-AR-72103/2062762647_zpid/,2026-08-01T00:00:00.000Z,Listed for rent,2022-06-27T00:00:00.000Z,Listing removed,2022-06-15T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,/homedetails/5399-Heritage-Valley-Dr-Benton-AR-72019/2062299989_zpid/,FOR_RENT,245000,"5399 Heritage Valley Dr, Benton, AR 72019",5399 Heritage Valley Dr,2000,1790,2000,https://www.zillow.com/homedetails/5399-Heritage-Valley-Dr-Benton-AR-72019/2062299989_zpid/,2026-07-27T00:00:00.000Z,Listed for rent,2026-07-15T00:00:00.000Z,Listing removed,2026-05-22T00:00:00.000Z,Price change,2026-04-02T00:00:00.000Z,Listed for sale,2026-04-01T00:00:00.000Z,Listing removed,2025-11-06T00:00:00.000Z,Price change,2025-10-13T00:00:00.000Z,Price change,2025-10-04T00:00:00.000Z,Listed for sale,2025-02-24T00:00:00.000Z,Sold,2025-02-05T00:00:00.000Z,Contingent,2024-11-30T00:00:00.000Z,Price change,2024-10-04T00:00:00.000Z,Price change,2024-09-29T00:00:00.000Z,Price change,2024-09-07T00:00:00.000Z,Listed for sale,2022-08-29T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,/homedetails/14225-Clayton-Dr-Shannon-Hills-AR-72103/393298_zpid/,FOR_RENT,127900,"14225 Clayton Dr, Shannon Hills, AR 72103",14225 Clayton Dr,995,1273,995,https://www.zillow.com/homedetails/14225-Clayton-Dr-Shannon-Hills-AR-72103/393298_zpid/,2026-08-11T00:00:00.000Z,Listed for rent,2026-01-07T00:00:00.000Z,Listing removed,2025-12-22T00:00:00.000Z,Listed for rent,2023-10-25T00:00:00.000Z,Listing removed,2023-10-03T00:00:00.000Z,Listed for rent,2021-10-04T00:00:00.000Z,Listing removed,2021-09-13T00:00:00.000Z,Sold,2021-09-10T00:00:00.000Z,Listed for rent,2021-05-28T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,/homedetails/17-Greenbrier-Dr-Benton-AR-72015/386172_zpid/,FOR_RENT,143000,"17 Greenbrier Dr, Benton, AR 72015",17 Greenbrier Dr,1625,1460,1625,https://www.zillow.com/homedetails/17-Greenbrier-Dr-Benton-AR-72015/386172_zpid/,2026-08-03T00:00:00.000Z,Listed for rent,2026-02-23T00:00:00.000Z,Listing removed,2026-02-19T00:00:00.000Z,Price change,2026-01-29T00:00:00.000Z,Price change,2026-01-15T00:00:00.000Z,Price change,2025-12-30T00:00:00.000Z,Price change,2025-11-24T00:00:00.000Z,Listed for rent,2024-10-01T00:00:00.000Z,Listing removed,2024-08-29T00:00:00.000Z,Listed for rent,2022-03-07T00:00:00.000Z,Listing removed,2021-12-31T00:00:00.000Z,Listed for rent,2021-11-19T00:00:00.000Z,Sold,2014-09-17T00:00:00.000Z,Listing removed,2014-07-15T00:00:00.000Z,Listed for rent,2007-07-20T00:00:00.000Z,Sold,2006-08-01T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,
3,20,/homedetails/227-Iris-St-Haskell-AR-72015/2060765172_zpid/,FOR_RENT,195000,"227 Iris St, Haskell, AR 72015",227 Iris St,1795,1420,1795,https://www.zillow.com/homedetails/227-Iris-St-Haskell-AR-72015/2060765172_zpid/,2026-07-27T00:00:00.000Z,Listed for rent,2023-02-16T00:00:00.000Z,Listing removed,2023-02-08T00:00:00.000Z,Price change,2023-01-26T00:00:00.000Z,Price change,2022-12-09T00:00:00.000Z,Listed for rent,2022-11-10T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,/homedetails/1826-Auburn-Hills-Dr-Benton-AR-72015/64760739_zpid/,FOR_RENT,147500,"1826 Auburn Hills Dr, Benton, AR 72015",1826 Auburn Hills Dr,1625,1300,1625,https://www.zillow.com/homedetails/1826-Auburn-Hills-Dr-Benton-AR-72015/64760739_zpid/,2026-07-28T00:00:00.000Z,Listed for rent,2025-04-16T00:00:00.000Z,Listing removed,2025-03-18T00:00:00.000Z,Listed for rent,2023-08-09T00:00:00.000Z,Listing removed,2023-08-07T00:00:00.000Z,Listed for rent,2023-07-27T00:00:00.000Z,Listing removed,2023-07-24T00:00:00.000Z,Listed for rent,2022-12-21T00:00:00.000Z,Sold,2022-03-16T00:00:00.000Z,Listing removed,2022-02-28T00:00:00.000Z,Listed for rent,2022-01-24T00:00:00.000Z,Sold,2013-08-18T00:00:00.000Z,Listing removed,2013-06-02T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,/homedetails/2668-Chapel-Creek-Dr-Benton-AR-72015/120791136_zpid/,FOR_RENT,,"2668 Chapel Creek Dr, Benton, AR 72015",2668 Chapel Creek Dr,1595,1478,1595,https://www.zillow.com/homedetails/2668-Chapel-Creek-Dr-Benton-AR-72015/120791136_zpid/,2026-07-31T00:00:00.000Z,Listed for rent,2020-04-14T00:00:00.000Z,Listing removed,2020-04-08T00:00:00.000Z,Listed for rent,2017-08-19T00:00:00.000Z,Listing removed,2017-08-03T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,/homedetails/4326-Glenda-Ln-Benton-AR-72019/68021994_zpid/,FOR_RENT,157000,"4326 Glenda Ln, Benton, AR 72019",4326 Glenda Ln,1545,1398,1545,https://www.zillow.com/homedetails/4326-Glenda-Ln-Benton-AR-72019/68021994_zpid/,2026-08-04T00:00:00.000Z,Listed for rent,2025-07-11T00:00:00.000Z,Listing removed,2025-07-01T00:00:00.000Z,Listed for rent,2025-06-26T00:00:00.000Z,Listing removed,2025-06-12T00:00:00.000Z,Price change,2025-06-04T00:00:00.000Z,Price change,2025-04-08T00:00:00.000Z,Listed for rent,2023-12-27T00:00:00.000Z,Listing removed,2023-12-19T00:00:00.000Z,Listed for rent,2023-09-04T00:00:00.000Z,Listing removed,2021-11-01T00:00:00.000Z,Listing removed,2021-10-26T00:00:00.000Z,Price change,2021-10-21T00:00:00.000Z,Price change,2021-10-04T00:00:00.000Z,Listed for rent,2021-09-03T00:00:00.000Z,Sold,2021-08-08T00:00:00.000Z,Contingent,2021-07-30T00:00:00.000Z,Listed for sale,2017-08-31T00:00:00.000Z,Sold,2017-07-28T00:00:00.000Z,Price change,2017-06-22T00:00:00.000Z,Listed for sale,2005-06-10T00:00:00.000Z,Sold,,,,,,,,,,,,,,
4,20,/homedetails/13724-Joan-Dr-Shannon-Hills-AR-72103/393639_zpid/,FOR_RENT,118000,"13724 Joan Dr, Shannon Hills, AR 72103",13724 Joan Dr,1100,1299,1100,https://www.zillow.com/homedetails/13724-Joan-Dr-Shannon-Hills-AR-72103/393639_zpid/,2026-07-27T00:00:00.000Z,Listed for rent,2022-08-18T00:00:00.000Z,Listing removed,2022-08-05T00:00:00.000Z,Listed for rent,2022-04-26T00:00:00.000Z,Sold,2021-09-28T00:00:00.000Z,Listing removed,2021-08-30T00:00:00.000Z,Listed for rent,2019-12-04T00:00:00.000Z,Listing removed,2019-08-26T00:00:00.000Z,Price change,2019-08-16T00:00:00.000Z,Price change,2019-07-31T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,/homedetails/4568-Western-Woods-Dr-Benton-AR-72015/2057412537_zpid/,FOR_RENT,313100,"4568 Western Woods Dr, Benton, AR 72015",4568 Western Woods Dr,1895,1734,1895,https://www.zillow.com/homedetails/4568-Western-Woods-Dr-Benton-AR-72015/2057412537_zpid/,2026-07-29T00:00:00.000Z,Listed for rent,2025-04-17T00:00:00.000Z,Listing removed,2025-04-10T00:00:00.000Z,Listed for rent,2023-03-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
