listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"4340 Sloan Dr, Alexander, AR 72002",4340 Sloan Dr,forRent,,4,1850,,2140,41,https://www.zillow.com/homedetails/4340-Sloan-Dr-Alexander-AR-72002/442183331_zpid/,,267480
"2277 Sam Tillery Dr, Alexander, AR 72002",2277 Sam Tillery Dr,forRent,,4,1439,,1795,8,https://www.zillow.com/homedetails/2277-Sam-Tillery-Dr-Alexander-AR-72002/462316857_zpid/,,222900
"2400 SW Ednruance Way #2, Maumelle, AR 72113",2400 SW Ednruance Way #2,forRent,,3,1200,,2125,75,https://www.zillow.com/homedetails/2400-SW-Ednruance-Way-2-Maumelle-AR-72113/463401793_zpid/,,
"170 Bighorn Trl, Maumelle, AR 72113",170 Bighorn Trl,forRent,,3,1382,,1850,14,https://www.zillow.com/homedetails/170-Bighorn-Trl-Maumelle-AR-72113/461017693_zpid/,,
"8616 Eastwood Creek Dr, North Little Rock, AR 72113",8616 Eastwood Creek Dr,forRent,,3,1722,,1950,16,https://www.zillow.com/homedetails/8616-Eastwood-Creek-Dr-North-Little-Rock-AR-72113/2059022685_zpid/,,246600
"144 Jonathan Dr, Maumelle, AR 72113",144 Jonathan Dr,forRent,,3,1402,,1800,34,https://www.zillow.com/homedetails/144-Jonathan-Dr-Maumelle-AR-72113/462538135_zpid/,,225150
"3802 Pinecrest Ln, Maumelle, AR 72113",3802 Pinecrest Ln,forRent,,4,2435,,2700,2,https://www.zillow.com/homedetails/3802-Pinecrest-Ln-Maumelle-AR-72113/465038347_zpid/,,
"6006 Hoover St, Maumelle, AR 72113",6006 Hoover St,forRent,,2,1450,,1595,8,https://www.zillow.com/homedetails/6006-Hoover-St-Maumelle-AR-72113/2062966797_zpid/,,
"10505 Cypress Knee Dr, North Little Rock, AR 72113",10505 Cypress Knee Dr,forRent,,3,1678,,1850,11,https://www.zillow.com/homedetails/10505-Cypress-Knee-Dr-North-Little-Rock-AR-72113/2061799089_zpid/,,233425
"55 Maddison Rachael, Cabot, AR 72023",55 Maddison Rachael,forRent,,4,1459,,1475,36,https://www.zillow.com/homedetails/55-Maddison-Rachael-Cabot-AR-72023/461972684_zpid/,,212900
