listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"100 Nona Ruth Ln, Cabot, AR 72023",100 Nona Ruth Ln,forRent,,4,1459,,1460,0,https://www.zillow.com/homedetails/100-Nona-Ruth-Ln-Cabot-AR-72023/463333811_zpid/,,
"70 Kinley Brook Ln, Cabot, AR 72023",70 Kinley Brook Ln,forRent,,3,1012,,1595,29,https://www.zillow.com/homedetails/70-Kinley-Brook-Ln-Cabot-AR-72023/2055560788_zpid/,,175775
"105 Maddison Rachael, Cabot, AR 72023",105 Maddison Rachael,forRent,,4,1459,,1460,0,https://www.zillow.com/homedetails/105-Maddison-Rachael-Cabot-AR-72023/463333812_zpid/,,
"50 Swayze Rhys Ln, Cabot, AR 72023",50 Swayze Rhys Ln,forRent,,4,1652,,1700,25,https://www.zillow.com/homedetails/50-Swayze-Rhys-Ln-Cabot-AR-72023/350308169_zpid/,,217825
"55 Maddison Rachael, Cabot, AR 72023",55 Maddison Rachael,forRent,,4,1459,,1475,39,https://www.zillow.com/homedetails/55-Maddison-Rachael-Cabot-AR-72023/461972684_zpid/,,212900
"65 Swayze Rhys Ln, Cabot, AR 72023",65 Swayze Rhys Ln,forRent,,3,1633,,1675,26,https://www.zillow.com/homedetails/65-Swayze-Rhys-Ln-Cabot-AR-72023/2052994194_zpid/,,213925
"35 Foster Louis Ln, Cabot, AR 72023",35 Foster Louis Ln,forRent,,3,1234,,1455,11,https://www.zillow.com/homedetails/35-Foster-Louis-Ln-Cabot-AR-72023/349183675_zpid/,,
"3802 Pinecrest Ln, Maumelle, AR 72113",3802 Pinecrest Ln,forRent,,4,2435,,2700,5,https://www.zillow.com/homedetails/3802-Pinecrest-Ln-Maumelle-AR-72113/465038347_zpid/,,
"10700 Mason Dr, North Little Rock, AR 72113",10700 Mason Dr,forRent,,3,1248,,1700,0,https://www.zillow.com/homedetails/10700-Mason-Dr-North-Little-Rock-AR-72113/457082284_zpid/,,204325
"2400 SW Ednruance Way #2, Maumelle, AR 72113",2400 SW Ednruance Way #2,forRent,,3,1200,,1995,78,https://www.zillow.com/homedetails/2400-SW-Ednruance-Way-2-Maumelle-AR-72113/463401793_zpid/,,
"70 Nona Ruth Ln, Cabot, AR 72023",70 Nona Ruth Ln,forRent,,3,1612,,1575,8,https://www.zillow.com/homedetails/70-Nona-Ruth-Ln-Cabot-AR-72023/461972683_zpid/,,214900
"120 Nona Ruth Ln, Cabot, AR 72023",120 Nona Ruth Ln,forRent,,3,1402,,1410,0,https://www.zillow.com/homedetails/120-Nona-Ruth-Ln-Cabot-AR-72023/464079221_zpid/,,
"115 Maddison Rachael, Cabot, AR 72023",115 Maddison Rachael,forRent,,3,1373,,1410,0,https://www.zillow.com/homedetails/115-Maddison-Rachael-Cabot-AR-72023/463940284_zpid/,,
"8616 Eastwood Creek Dr, North Little Rock, AR 72113",8616 Eastwood Creek Dr,forRent,,3,1722,,1950,19,https://www.zillow.com/homedetails/8616-Eastwood-Creek-Dr-North-Little-Rock-AR-72113/2059022685_zpid/,,246600
"25 Maddison Rachael, Cabot, AR 72023",25 Maddison Rachael,forRent,,3,1248,,1310,0,https://www.zillow.com/homedetails/25-Maddison-Rachael-Cabot-AR-72023/460872609_zpid/,,
"170 Bighorn Trl, Maumelle, AR 72113",170 Bighorn Trl,forRent,,3,1382,,1850,17,https://www.zillow.com/homedetails/170-Bighorn-Trl-Maumelle-AR-72113/461017693_zpid/,,
"60 Leruss Blvd, Cabot, AR 72023",60 Leruss Blvd,forRent,,3,1422,,1425,35,https://www.zillow.com/homedetails/60-Leruss-Blvd-Cabot-AR-72023/342062290_zpid/,,203000
"113 Lucy Ln, Maumelle, AR 72113",113 Lucy Ln,forRent,,3,1051,,1460,0,https://www.zillow.com/homedetails/113-Lucy-Ln-Maumelle-AR-72113/463057776_zpid/,,
"670 Marianne St, Maumelle, AR 72113",670 Marianne St,forRent,,4,1900,,2000,2,https://www.zillow.com/homedetails/670-Marianne-St-Maumelle-AR-72113/2054932481_zpid/,,
"6006 Hoover St, Maumelle, AR 72113",6006 Hoover St,forRent,,2,1450,,1595,11,https://www.zillow.com/homedetails/6006-Hoover-St-Maumelle-AR-72113/2062966797_zpid/,,
"110 Nona Ruth Ln, Cabot, AR 72023",110 Nona Ruth Ln,forRent,,3,1248,,1310,0,https://www.zillow.com/homedetails/110-Nona-Ruth-Ln-Cabot-AR-72023/463333813_zpid/,,
