listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,listingAddress/zipCode,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event
"8616 Eastwood Creek Dr, North Little Rock, AR 72113",8616 Eastwood Creek Dr,North Little Rock,AR,72113,,forRent,3,1722,,1950,27,https://www.zillow.com/homedetails/8616-Eastwood-Creek-Dr-North-Little-Rock-AR-72113/2059022685_zpid/,,246600,2026-08-20T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Listing removed,2026-08-08T00:00:00.000Z,Price change,2026-07-16T00:00:00.000Z,Listed for rent,2023-06-12T00:00:00.000Z,Sold,2023-05-02T00:00:00.000Z,Contingent,2023-03-02T00:00:00.000Z,Listed for sale,2023-03-01T00:00:00.000Z,Contingent,2023-02-24T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3802 Pinecrest Ln, Maumelle, AR 72113",3802 Pinecrest Ln,Maumelle,AR,72113,,forRent,4,2435,,2600,13,https://www.zillow.com/homedetails/3802-Pinecrest-Ln-Maumelle-AR-72113/465038347_zpid/,,,2026-09-15T00:00:00.000Z,Price change,2026-09-03T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10700 Mason Dr, North Little Rock, AR 72113",10700 Mason Dr,North Little Rock,AR,72113,,forRent,3,1248,,1700,8,https://www.zillow.com/homedetails/10700-Mason-Dr-North-Little-Rock-AR-72113/457082284_zpid/,,204325,2026-09-08T00:00:00.000Z,Listed for rent,2026-03-11T00:00:00.000Z,Sold,2026-01-15T00:00:00.000Z,Contingent,2025-12-30T00:00:00.000Z,Listed for sale,2025-10-30T00:00:00.000Z,Listing removed,2025-09-30T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6005 Coywolf, Maumelle, AR 72113",6005 Coywolf,Maumelle,AR,72113,,forRent,4,1955,,2300,0,https://www.zillow.com/homedetails/6005-Coywolf-Maumelle-AR-72113/465322717_zpid/,,,2026-09-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"113 Lucy Ln, Maumelle, AR 72113",113 Lucy Ln,Maumelle,AR,72113,,forRent,3,1051,,1460,8,https://www.zillow.com/homedetails/113-Lucy-Ln-Maumelle-AR-72113/463057776_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-08-10T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Price change,2026-07-13T00:00:00.000Z,Price change,2026-07-09T00:00:00.000Z,Price change,2026-07-06T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2400 SW Ednruance Way #2, Maumelle, AR 72113",2400 SW Ednruance Way #2,Maumelle,AR,72113,,forRent,3,1200,,1995,86,https://www.zillow.com/homedetails/2400-SW-Ednruance-Way-2-Maumelle-AR-72113/463401793_zpid/,,,2026-09-08T00:00:00.000Z,Price change,2026-06-23T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103 Jo Park Ln, Maumelle, AR 72113",103 Jo Park Ln,Maumelle,AR,72113,,forRent,3,1491,,1700,0,https://www.zillow.com/homedetails/103-Jo-Park-Ln-Maumelle-AR-72113/2058345725_zpid/,,223425,2026-09-16T00:00:00.000Z,Listed for rent,2023-08-10T00:00:00.000Z,Sold,2023-04-29T00:00:00.000Z,Listing removed,2023-04-18T00:00:00.000Z,Price change,2023-03-26T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35 Foster Louis Ln, Cabot, AR 72023",35 Foster Louis Ln,Cabot,AR,72023,,forRent,3,1234,,1455,19,https://www.zillow.com/homedetails/35-Foster-Louis-Ln-Cabot-AR-72023/349183675_zpid/,,,2026-08-28T00:00:00.000Z,Listed for rent,2024-08-07T00:00:00.000Z,Listing removed,2024-08-06T00:00:00.000Z,Listed for rent,2024-08-06T00:00:00.000Z,Listing removed,2024-05-04T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100 Nona Ruth Ln, Cabot, AR 72023",100 Nona Ruth Ln,Cabot,AR,72023,,forRent,4,1459,,1460,8,https://www.zillow.com/homedetails/100-Nona-Ruth-Ln-Cabot-AR-72023/463333811_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-08-04T00:00:00.000Z,Price change,2026-07-20T00:00:00.000Z,Price change,2026-07-06T00:00:00.000Z,Price change,2026-06-18T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70 Kinley Brook Ln, Cabot, AR 72023",70 Kinley Brook Ln,Cabot,AR,72023,,forRent,3,1012,,1595,37,https://www.zillow.com/homedetails/70-Kinley-Brook-Ln-Cabot-AR-72023/2055560788_zpid/,,175775,2026-08-11T00:00:00.000Z,Listed for rent,2024-06-17T00:00:00.000Z,Listing removed,2024-05-22T00:00:00.000Z,Price change,2024-03-06T00:00:00.000Z,Listed for rent,2024-02-27T00:00:00.000Z,Sold,2024-02-17T00:00:00.000Z,Contingent,2023-12-26T00:00:00.000Z,Price change,2023-11-15T00:00:00.000Z,Price change,2023-09-12T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
