listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event,listingPriceHistory/6/date,listingPriceHistory/6/event,listingPriceHistory/7/date,listingPriceHistory/7/event,listingPriceHistory/8/date,listingPriceHistory/8/event,listingPriceHistory/9/date,listingPriceHistory/9/event,listingPriceHistory/10/date,listingPriceHistory/10/event,listingPriceHistory/11/date,listingPriceHistory/11/event,listingPriceHistory/12/date,listingPriceHistory/12/event,listingPriceHistory/13/date,listingPriceHistory/13/event,listingPriceHistory/14/date,listingPriceHistory/14/event,listingPriceHistory/15/date,listingPriceHistory/15/event,listingPriceHistory/16/date,listingPriceHistory/16/event,listingPriceHistory/17/date,listingPriceHistory/17/event,listingPriceHistory/18/date,listingPriceHistory/18/event,listingPriceHistory/19/date,listingPriceHistory/19/event,listingPriceHistory/20/date,listingPriceHistory/20/event,listingPriceHistory/21/date,listingPriceHistory/21/event,listingPriceHistory/22/date,listingPriceHistory/22/event,listingPriceHistory/23/date,listingPriceHistory/23/event,listingPriceHistory/24/date,listingPriceHistory/24/event,listingPriceHistory/25/date,listingPriceHistory/25/event,listingPriceHistory/26/date,listingPriceHistory/26/event,listingPriceHistory/27/date,listingPriceHistory/27/event,listingPriceHistory/28/date,listingPriceHistory/28/event,listingPriceHistory/29/date,listingPriceHistory/29/event
"3915 Ledbetter Dr, Conway, AR 72034",3915 Ledbetter Dr,Conway,AR,,forRent,3,1052,,1100,6,https://www.zillow.com/homedetails/3915-Ledbetter-Dr-Conway-AR-72034/242880_zpid/,,134000,2026-01-14T00:00:00.000Z,Listed for rent,2026-01-14T00:00:00.000Z,Listing removed,2026-01-08T00:00:00.000Z,Listed for rent,2024-12-09T00:00:00.000Z,Listing removed,2024-10-16T00:00:00.000Z,Price change,2024-08-16T00:00:00.000Z,Listed for rent,2024-02-29T00:00:00.000Z,Listing removed,2024-02-16T00:00:00.000Z,Price change,2024-01-08T00:00:00.000Z,Listed for rent,2023-02-08T00:00:00.000Z,Listing removed,2023-01-25T00:00:00.000Z,Price change,2022-11-23T00:00:00.000Z,Listed for rent,2022-11-14T00:00:00.000Z,Sold,2022-10-13T00:00:00.000Z,Contingent,2022-10-09T00:00:00.000Z,Listed for sale,2015-07-17T00:00:00.000Z,Sold,2002-05-31T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
"121 Shamrock Dr, Conway, AR 72034",121 Shamrock Dr,Conway,AR,,forRent,4,1950,,2000,6,https://www.zillow.com/homedetails/121-Shamrock-Dr-Conway-AR-72034/238690_zpid/,,142000,2026-01-20T00:00:00.000Z,Listed for rent,2025-08-31T00:00:00.000Z,Listing removed,2025-08-25T00:00:00.000Z,Listed for rent,2025-08-25T00:00:00.000Z,Listing removed,2025-08-04T00:00:00.000Z,Price change,2025-06-29T00:00:00.000Z,Listed for rent,2023-04-03T00:00:00.000Z,Listing removed,2023-03-09T00:00:00.000Z,Listed for rent,2020-11-02T00:00:00.000Z,Sold,2012-06-29T00:00:00.000Z,Sold,2010-09-09T00:00:00.000Z,Listed for sale,2010-06-24T00:00:00.000Z,Sold,2010-05-03T00:00:00.000Z,Listed for sale,2010-02-28T00:00:00.000Z,Listing removed,2009-11-01T00:00:00.000Z,Listed for sale,2006-05-04T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Vineyard Dr, Mayflower, AR 72106",15 Vineyard Dr,Mayflower,AR,,forRent,,,,,,"https://www.zillow.com/b/15-vineyard-dr-mayflower-ar/34.970715,-92.48699_ll/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Leruss Blvd, Cabot, AR 72023",15 Leruss Blvd,Cabot,AR,,forRent,,,,,,https://www.zillow.com/b/15-leruss-blvd-cabot-ar-CkhJp8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103 E Concord Rd, Mayflower, AR 72106",103 E Concord Rd,Mayflower,AR,,forRent,3,1413,,1660,9,https://www.zillow.com/homedetails/103-E-Concord-Rd-Mayflower-AR-72106/463058000_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-14T00:00:00.000Z,Listing removed,2026-07-20T00:00:00.000Z,Price change,2026-06-09T00:00:00.000Z,Listed for sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"640 Cherub Dr, Conway, AR 72034",640 Cherub Dr,Conway,AR,,forRent,3,1144,,1500,4,https://www.zillow.com/homedetails/640-Cherub-Dr-Conway-AR-72034/242932_zpid/,,180000,2026-09-13T00:00:00.000Z,Listed for rent,2026-08-28T00:00:00.000Z,Sold,2026-08-27T00:00:00.000Z,Contingent,2026-07-26T00:00:00.000Z,Listed for sale,2018-04-26T00:00:00.000Z,Sold,2013-10-04T00:00:00.000Z,Sold,2010-09-24T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1740 Raden St, Conway, AR 72032",1740 Raden St,Conway,AR,,forRent,3,1243,,1650,9,https://www.zillow.com/homedetails/1740-Raden-St-Conway-AR-72032/2061816633_zpid/,,,2026-09-09T00:00:00.000Z,Listed for rent,2026-05-19T00:00:00.000Z,Listing removed,2026-02-27T00:00:00.000Z,Price change,2022-11-09T00:00:00.000Z,Price change,2022-10-11T00:00:00.000Z,Price change,2022-08-22T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"175 Southerland Rd, Conway, AR 72032",175 Southerland Rd,Conway,AR,,forRent,3,1532,,1650,16,https://www.zillow.com/homedetails/175-Southerland-Rd-Conway-AR-72032/35730518_zpid/,,165000,2026-09-02T00:00:00.000Z,Listed for rent,2025-07-03T00:00:00.000Z,Listing removed,2025-06-23T00:00:00.000Z,Listed for rent,2024-06-07T00:00:00.000Z,Listing removed,2024-05-25T00:00:00.000Z,Listed for rent,2022-05-09T00:00:00.000Z,Listing removed,2022-04-18T00:00:00.000Z,Listed for rent,2022-04-06T00:00:00.000Z,Sold,2022-02-18T00:00:00.000Z,Contingent,2022-02-03T00:00:00.000Z,Listed for sale,2020-07-20T00:00:00.000Z,Listing removed,2020-07-17T00:00:00.000Z,Listed for sale,2018-02-03T00:00:00.000Z,Listing removed,2017-12-31T00:00:00.000Z,Listed for rent,2015-07-20T00:00:00.000Z,Sold,2015-06-17T00:00:00.000Z,Pending sale,2015-05-02T00:00:00.000Z,Listed for sale,2015-01-01T00:00:00.000Z,Listing removed,2014-06-19T00:00:00.000Z,Listed for sale,2006-09-26T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,
"110 Fredonia Ct, Mayflower, AR 72106",110 Fredonia Ct,Mayflower,AR,,forRent,4,1858,,1895,4,https://www.zillow.com/homedetails/110-Fredonia-Ct-Mayflower-AR-72106/453583162_zpid/,,,2026-09-14T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Listing removed,2025-07-28T00:00:00.000Z,Price change,2025-07-18T00:00:00.000Z,Price change,2025-07-17T00:00:00.000Z,Price change,2025-07-11T00:00:00.000Z,Price change,2025-07-03T00:00:00.000Z,Price change,2025-06-27T00:00:00.000Z,Price change,2025-06-20T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2400 SW Ednruance Way, Maumelle, AR 72113",2400 SW Ednruance Way,Maumelle,AR,,other,,,,,,"https://www.zillow.com/b/2400-sw-ednruance-way-maumelle-ar/34.87126275998,-92.450398671503_ll/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1610 Raden St, Conway, AR 72032",1610 Raden St,Conway,AR,,forRent,3,1243,,1650,37,https://www.zillow.com/homedetails/1610-Raden-St-Conway-AR-72032/2066419442_zpid/,,,2026-08-12T00:00:00.000Z,Listed for rent,2025-10-04T00:00:00.000Z,Listing removed,2025-10-03T00:00:00.000Z,Listed for rent,2025-10-03T00:00:00.000Z,Listing removed,2025-07-18T00:00:00.000Z,Listed for rent,2023-12-30T00:00:00.000Z,Listing removed,2023-12-29T00:00:00.000Z,Listed for rent,2023-12-28T00:00:00.000Z,Listing removed,2023-12-01T00:00:00.000Z,Price change,2023-09-08T00:00:00.000Z,Listed for rent,2023-04-19T00:00:00.000Z,Listing removed,2023-03-28T00:00:00.000Z,Listed for rent,2022-04-21T00:00:00.000Z,Listing removed,2022-02-16T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1720 Ryder St, Conway, AR 72032",1720 Ryder St,Conway,AR,,forRent,4,1559,,1700,18,https://www.zillow.com/homedetails/1720-Ryder-St-Conway-AR-72032/338960305_zpid/,,,2026-09-01T00:00:00.000Z,Listed for rent,2025-08-05T00:00:00.000Z,Listing removed,2025-07-31T00:00:00.000Z,Listed for rent,2023-08-07T00:00:00.000Z,Listing removed,2023-07-22T00:00:00.000Z,Listed for rent,2023-06-22T00:00:00.000Z,Listing removed,2023-06-14T00:00:00.000Z,Listed for rent,2023-01-31T00:00:00.000Z,Listing removed,2023-01-19T00:00:00.000Z,Price change,2022-12-15T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4555 Graham Dr, Conway, AR 72034",4555 Graham Dr,Conway,AR,,forRent,3,1192,,1400,36,https://www.zillow.com/homedetails/4555-Graham-Dr-Conway-AR-72034/59917944_zpid/,,185000,2026-08-13T00:00:00.000Z,Listed for rent,2024-10-02T00:00:00.000Z,Listing removed,2024-09-23T00:00:00.000Z,Listed for rent,2023-07-28T00:00:00.000Z,Sold,2023-06-28T00:00:00.000Z,Contingent,2023-06-28T00:00:00.000Z,Listed for sale,2021-03-24T00:00:00.000Z,Listing removed,2016-11-28T00:00:00.000Z,Listing removed,2016-11-28T00:00:00.000Z,Listed for sale,2016-09-29T00:00:00.000Z,Sold,2016-09-06T00:00:00.000Z,Pending sale,2016-07-30T00:00:00.000Z,Price change,2016-07-21T00:00:00.000Z,Listed for sale,2011-06-21T00:00:00.000Z,Sold,2005-10-20T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1810 Rich Smith Ln, Conway, AR 72032",1810 Rich Smith Ln,Conway,AR,,forRent,3,2310,,2500,53,https://www.zillow.com/homedetails/1810-Rich-Smith-Ln-Conway-AR-72032/102992676_zpid/,,,2026-07-27T00:00:00.000Z,Price change,2026-06-22T00:00:00.000Z,Price change,2026-04-22T00:00:00.000Z,Price change,2026-01-07T00:00:00.000Z,Listed for rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1306 Bellemeade Dr, Conway, AR 72034",1306 Bellemeade Dr,Conway,AR,,forRent,3,2220,,1775,36,https://www.zillow.com/homedetails/1306-Bellemeade-Dr-Conway-AR-72034/234155_zpid/,,89090,2026-08-13T00:00:00.000Z,Listed for rent,2025-06-20T00:00:00.000Z,Listing removed,2025-05-09T00:00:00.000Z,Listed for rent,2017-12-01T00:00:00.000Z,Listing removed,2017-08-20T00:00:00.000Z,Price change,2017-05-31T00:00:00.000Z,Listed for sale,2013-10-16T00:00:00.000Z,Listing removed,2013-07-18T00:00:00.000Z,Listed for sale,2013-04-01T00:00:00.000Z,Sold,2012-06-28T00:00:00.000Z,Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
