listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"241 Lariat Dr, Austin, AR 72007",241 Lariat Dr,Austin,AR,,forRent,3,1300,,1375,4,https://www.zillow.com/homedetails/241-Lariat-Dr-Austin-AR-72007/99416058_zpid/,,127000,2026-09-18T00:00:00.000Z,Listed for rent,2022-06-14T00:00:00.000Z,Listing removed,2022-06-08T00:00:00.000Z,Listed for rent,2021-03-01T00:00:00.000Z,Sold,2018-02-26T00:00:00.000Z,Listing removed,2018-02-09T00:00:00.000Z,Listed for rent
"53 Bent Tree Dr, Cabot, AR 72023",53 Bent Tree Dr,Cabot,AR,,forRent,3,1645,,1495,62,https://www.zillow.com/homedetails/53-Bent-Tree-Dr-Cabot-AR-72023/256157_zpid/,,10000,2026-09-01T00:00:00.000Z,Price change,2026-07-22T00:00:00.000Z,Listed for rent,2002-07-18T00:00:00.000Z,Sold,1993-11-12T00:00:00.000Z,Sold,,,,
"509 E Elm St, Cabot, AR 72023",509 E Elm St,Cabot,AR,,forRent,3,1056,,1450,75,https://www.zillow.com/homedetails/509-E-Elm-St-Cabot-AR-72023/257181_zpid/,,185000,2026-08-20T00:00:00.000Z,Price change,2026-07-23T00:00:00.000Z,Price change,2026-07-09T00:00:00.000Z,Listed for rent,2026-07-09T00:00:00.000Z,Listing removed,2026-05-02T00:00:00.000Z,Listed for rent,2026-04-16T00:00:00.000Z,Listing removed
"22 Oakland Cir, Austin, AR 72007",22 Oakland Cir,Austin,AR,,forRent,3,1328,,1575,28,https://www.zillow.com/homedetails/22-Oakland-Cir-Austin-AR-72007/251409763_zpid/,,176000,2026-08-25T00:00:00.000Z,Listed for rent,2024-07-01T00:00:00.000Z,Listing removed,2024-05-14T00:00:00.000Z,Listed for rent,2024-05-02T00:00:00.000Z,Listing removed,2024-04-15T00:00:00.000Z,Price change,2024-03-28T00:00:00.000Z,Price change
"32 Thunderbird Dr, Cabot, AR 72023",32 Thunderbird Dr,Cabot,AR,,forRent,3,1444,,1475,19,https://www.zillow.com/homedetails/32-Thunderbird-Dr-Cabot-AR-72023/67447424_zpid/,,,2026-09-03T00:00:00.000Z,Listed for rent,2021-03-24T00:00:00.000Z,Listing removed,2017-03-08T00:00:00.000Z,Listing removed,2017-02-06T00:00:00.000Z,Listed for rent,,,,
"15 Silverado Ct, Cabot, AR 72023",15 Silverado Ct,Cabot,AR,,forRent,3,1382,,1350,33,https://www.zillow.com/homedetails/15-Silverado-Ct-Cabot-AR-72023/35732243_zpid/,,150000,2026-08-20T00:00:00.000Z,Listed for rent,2024-11-11T00:00:00.000Z,Listing removed,2024-09-27T00:00:00.000Z,Listed for rent,2022-10-26T00:00:00.000Z,Sold,2020-12-16T00:00:00.000Z,Listing removed,2020-12-08T00:00:00.000Z,Listed for rent
"20 Ponderosa Dr, Lonoke, AR 72086",20 Ponderosa Dr,Lonoke,AR,,forRent,3,2256,,2300,4,https://www.zillow.com/homedetails/20-Ponderosa-Dr-Lonoke-AR-72086/260773_zpid/,,215000,2026-09-18T00:00:00.000Z,Listed for rent,2025-09-05T00:00:00.000Z,Listing removed,2025-08-22T00:00:00.000Z,Listed for rent,2022-08-05T00:00:00.000Z,Sold,2022-06-21T00:00:00.000Z,Contingent,2022-06-17T00:00:00.000Z,Listed for sale
"16 Mustang Dr, Cabot, AR 72023",16 Mustang Dr,Cabot,AR,,forRent,3,1494,,1450,46,https://www.zillow.com/homedetails/16-Mustang-Dr-Cabot-AR-72023/63160974_zpid/,,2988,2026-08-07T00:00:00.000Z,Listed for rent,2020-02-08T00:00:00.000Z,Listing removed,2020-01-25T00:00:00.000Z,Listed for rent,2018-12-12T00:00:00.000Z,Listing removed,2018-11-14T00:00:00.000Z,Listed for rent,2012-08-23T00:00:00.000Z,Sold
"203 Lynn Ln, Lonoke, AR 72086",203 Lynn Ln,Lonoke,AR,,forRent,3,1200,,1195,99,https://www.zillow.com/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,,105000,2026-09-02T00:00:00.000Z,Price change,2026-06-30T00:00:00.000Z,Price change,2026-06-15T00:00:00.000Z,Listed for rent,2026-06-01T00:00:00.000Z,Listing removed,2026-05-14T00:00:00.000Z,Listed for rent,2022-05-19T00:00:00.000Z,Sold
"831 Richfield Rd, Jacksonville, AR 72076",831 Richfield Rd,Jacksonville,AR,,forRent,3,,,1400,3,https://www.zillow.com/homedetails/831-Richfield-Rd-Jacksonville-AR-72076/250171_zpid/,,0,2026-09-19T00:00:00.000Z,Listed for rent,2014-08-18T00:00:00.000Z,Sold,,,,,,,,
"32 Fortson Dr, Cabot, AR 72023",32 Fortson Dr,Cabot,AR,,forRent,3,1064,,875,31,https://www.zillow.com/homedetails/32-Fortson-Dr-Cabot-AR-72023/63161011_zpid/,,750000,2026-08-22T00:00:00.000Z,Listed for rent,2024-02-17T00:00:00.000Z,Listing removed,2024-02-03T00:00:00.000Z,Listed for rent,2004-08-10T00:00:00.000Z,Sold,,,,
"54 Magnolia Dr, Cabot, AR 72023",54 Magnolia Dr,Cabot,AR,,forRent,3,1394,,1350,67,https://www.zillow.com/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,,117000,2026-09-15T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for rent,2025-09-24T00:00:00.000Z,Listing removed,2025-09-04T00:00:00.000Z,Listed for rent,2024-08-02T00:00:00.000Z,Listing removed,2024-07-20T00:00:00.000Z,Price change
