metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,purchase_price,rent_price,list_date,rent_date,days_on_market,status,source_url
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,"1040 Raven Walk Dr, Benton, AR 72015",4,1496,215400,1600,2026-07-07,,,currently for rent,pasted from Zillow (chat)
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,"1028 Raven Walk Dr, Benton, AR 72015",3,1248,202450,1525,2026-07-08,,,currently for rent,pasted from Zillow (chat)
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,"1056 Raven Walk Dr, Benton, AR 72015",4,1459,,1600,2026-07-27,,,currently for rent,pasted from Zillow (chat)
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,"1088 Raven Walk Dr, Benton, AR 72015",3,1651,224000,1650,2026-06-24,2026-07-02,8,previously rented,"MLS #26011780 | pasted from HotPads (chat)"
"Little Rock, AR",The Vineyard,D.R. Horton,,E Fredonia Court,"110 Fredonia Ct, Mayflower, AR 72106",4,1858,,1895,2026-09-14,,5,currently for rent,https://www.zillow.com/homedetails/110-Fredonia-Ct-Mayflower-AR-72106/453583162_zpid/
"Little Rock, AR",Magnolia Manor,Lennar,,Gum Spring Road,"1403 Gum Spring Rd, Searcy, AR 72143",4,1652,221300,1700,2026-09-10,,8,currently for rent,https://www.zillow.com/homedetails/1403-Gum-Spring-Rd-Searcy-AR-72143/463672213_zpid/
"Little Rock, AR",Magnolia Manor,Lennar,,Manor Court,"1408 Manor Ct, Searcy, AR 72143",3,1523,217500,1600,2026-09-10,,8,currently for rent,https://www.zillow.com/homedetails/1408-Manor-Ct-Searcy-AR-72143/463438204_zpid/
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,"1111 Green Meadows Dr, Beebe, AR 72012",3,1050,5000,1195,2026-09-09,,10,currently for rent,https://www.zillow.com/homedetails/1111-Green-Meadows-Dr-Beebe-AR-72012/112947926_zpid/
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,"103 Powder River Dr, Beebe, AR 72012",4,1496,,1195,2026-06-05,,60,currently for rent,https://www.zillow.com/homedetails/103-Powder-River-Dr-Beebe-AR-72012/457323671_zpid/
"Little Rock, AR",Wolfsbridge,D.R. Horton,,Wolfsbridge Loop,"55 Wolfsbridge Loop, Little Rock, AR 72227",3,1497,1150000,1700,2026-09-03,,16,currently for rent,https://www.zillow.com/homedetails/55-Wolfsbridge-Loop-Little-Rock-AR-72227/450002239_zpid/
"Little Rock, AR",White Oak Crossing,Lennar,,Stacey Lane,"8316 Stacey Ln, North Little Rock, AR 72113",4,2135,,2000,2026-09-18,,0,currently for rent,https://www.zillow.com/homedetails/8316-Stacey-Ln-North-Little-Rock-AR-72113/462055117_zpid/
"Little Rock, AR",White Oak Crossing,Lennar,,Mason Drive,"10904 Mason Dr, North Little Rock, AR 72113",4,1459,218000,2600,2026-08-19,,31,currently for rent,MLS #26021474 | MLS #26011301 | https://www.zillow.com/homedetails/10904-Mason-Dr-North-Little-Rock-AR-72113/454197783_zpid/
