"MLS #","Subdivision","Price","Approx SQFT","Full Baths","Beds","Closed Date","Days On Market","Address","City","Status","List Agent - Agent Name and Phone","List Office - Office Name"
"10359042","Metes & Bounds","$550","1584","2","3","2/14/2020","1761","355 Stone creek Road","Hardy","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"19023124","Choctaw Fourth","$565","1008","2","3","8/2/2019","17","46 Opalochee","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"18038813","Northside","$600","1344","1","3","4/25/2020","11","64 N Circle Drive","Ash Flat","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"10405091","Townhouse 3rd","$650","1708","2","3","8/1/2020","4453","17 Setting Sun","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"16015123","Ojibway Second","$650","1396","2","3","10/3/2019","527","10 War Eagle Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"10320344","South Lake","$675","1054","1","3","3/3/2021","2339","225 E Lakeshore Dr.","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"20033650","West Lake","$700","1804","2","3",,"3","4 Warpath Drive","Cherokee Village","Withdrawn","Laura J Sackett - Agent: 870-847-1651","Ozark Gateway Realty OGW LLC"
"19015601","Metes & Bounds","$700","1200","2","3","5/17/2019","4","10 Dina","Cabot","Leased","Danny N Brightwell","RE/MAX Encore"
"20033649","West Lake","$700","1804","2","3","6/30/2021","7","4 Warpath Drive","Cherokee Village","Rented","Laura J Sackett - Agent: 870-847-1651","Ozark Gateway Realty OGW LLC"
"18009584","Cabot City Area","$725","1065","1","3","5/22/2018","53","601 N 4th","Cabot","Leased","Danny N Brightwell","RE/MAX Encore"
"19032314","West Lake","$750","1352","2","3","6/8/2022","62","2 Warpath Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"25000349","Northside","$775","960","1","3","3/3/2026","55","66 S Circle","Ash Flat","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"18030826","East Lake","$800","1296","2","3","6/5/2020","107","131 E Lakeshore Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"20027890","Dakota Third","$800","1352","2","4","10/1/2020","24","6 Ada Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"18010166","Navasota","$800","1521","2","3","9/2/2019","6","147 pottawattamie Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23039790","Dakota Second","$850","910","1","3","3/28/2025","65","10 Cheyenne","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"16018392","Choctaw Third","$850","1072","1","3","11/6/2025","480","15 Micanoty Trace","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"22008864","Green Acres Edition","$895","1051","1","3","8/14/2024","77","914 Locust","Cave City","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"24036781","Kima 2nd","$900","1140","1","3","10/11/2024","7","93 Cochise Road","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"19032995","Kima Second","$950","1050","2","3","8/14/2024","119","5 Cisco Circle","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"24006631","South Lake","$950","1054","1","3","7/11/2024","52","225 E Lakeshore Dr.","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"16011531","Metes & Bounds","$950","2744","2","6","4/10/2020","500","20 Big Creek Lane","Highland","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"25009558","Green Valley","$1,050","1134","2","3",,"327","41 A Green Valley Loop","Vilonia","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"26024556","Lewis Bailey","$1,095","1008","2","3",,"44","120 Suda Street","Cabot","Active","Haley B Sansom - Agent: 501-676-8737","Mid South Realty"
"25009951","Green Valley","$1,100","1134","2","3",,"133","41 B Green Valley Loop","Vilonia","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"23004405","Metes & Bounds","$1,100","1280","2","3","2/28/2023","15","116 Sweet Gum Trail","Pocahontas","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"25048474","Hiawatha 3rd","$1,100","1184","1","3","3/30/2026","111","160 Hiawatha Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23003440","Dakota First","$1,100","1646","2","3",,"27","1 Powhatan Drive","Cherokee Village","Withdrawn","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23036021","Bailey To Jack","$1,199","1445","2","3","2/27/2024","83","1509 South Bailey","Jacksonville","Rented","Daniel Gray - Agent: 501-960-3181","RE/MAX Homefinders"
"23036020","Bailey To Jack","$1,200","1445","2","3",,"51","1507 South Bailey","Jacksonville","Withdrawn","Daniel Gray - Agent: 501-960-3181","RE/MAX Homefinders"
"26004250","Choctaw Third","$1,200","1404","2","3","2/27/2026","24","24 Menominee Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23017977","Bailey To Jack","$1,225","1445","2","3",,"108","1505 S Bailey Street","Jacksonville","Withdrawn","Nicholas Tourville - Agent: 501-941-6320","Arkansas Homes & Land"
"23017981","Bailey To Jack","$1,225","1445","2","3",,"108","1509 S Bailey Street","Jacksonville","Withdrawn","Nicholas Tourville - Agent: 501-941-6320","Arkansas Homes & Land"
"22033977","Kirkland","$1,225","1144","2","3",,"153","9 Kirkland Street","Ward","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"23033433","Bailey To Jack","$1,249","1445","2","3",,"72","1511 South Bailey","Jacksonville","Withdrawn","Daniel Gray - Agent: 501-960-3181","RE/MAX Homefinders"
"23024951","Bailey To Jack","$1,250","1409","2","3",,"113","1423 South Bailey Street","Jacksonville","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"24010053","Bailey","$1,250","1428","2","3",,"253","1425 South Bailey Street","Jacksonville","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"24005617","Crow 2nd","$1,250","1398","2","3","10/1/2025","60","20 Big Horn Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23017982","Bailey To Jack","$1,275","1445","2","3",,"108","1511 S Bailey Street","Jacksonville","Withdrawn","Nicholas Tourville - Agent: 501-941-6320","Arkansas Homes & Land"
"25024299","Stamps John","$1,295","1404","2","3",,"91","1513 Stamps Street","Jacksonville","Withdrawn","Heather Marshall - Agent: 501-350-0540","Blair & Co. Realtors"
"25038359","BT Laney","$1,300","1099","2","3","3/25/2026","178","2512 W Martin St","Conway","Leased","Alexis Hervey - Agent: 501-764-8386","Century 21 Parker & Scroggins Realty - Conway"
"22021306","OAKLAND GROVE ESTATES","$1,300","1500","2","4",,"110","18 Erwin Drive","Austin","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
"23006653","Pikewood II","$1,300","1100","2","3","3/19/2023","14","2312 Lavern #2 Street","Bryant","Rented","Jessica Parker - Agent: 501-303-0088","Century 21 Parker & Scroggins Realty - Benton"
"25038350","BT Laney","$1,300","1099","2","3","3/16/2026","169","2512 W Martin St","Conway","Leased","Yolanda Hervey - Agent: 501-951-0057","Century 21 Parker & Scroggins Realty - Conway"
"24020981","Navasota 1st","$1,300","1104","1","3","6/24/2024","12","119 Pottawattamie Drive","Cherokee Village","Rented","Crystal Bliss","Ozark Gateway Realty OGW LLC"
"23023713","OAKLAND GROVE ESTATES","$1,300","1553","2","4",,"22","29 Erwin Drive","Austin","Withdrawn","Roy D Rainey Jr. - Agent: 501-221-8888","Rainey Realty, Inc."
