"Picture Count","Status","List Price","Price","Subdivision","Address","Apx SQFT","Beds","Full Baths","Apx ACR","Input Date","Price Date","Price Per SQFT","Closed Date"
"23","EXP","$176,000","$176,000","MOONLIGHT MEADOWS PHASE 1","430 Moonlight Graham Boulevard","1156","3","2","0.14","10/7/2025 1:17 PM","4/20/2026","$152.25",
"23","ACT","$183,000","$183,000","MOONLIGHT MEADOWS PHASE 1","351 Moonlight Graham Boulevard","1156","3","2","0.14","2/15/2026 11:55 AM","6/29/2026","$158.30",
"20","EXP","$184,000","$184,000","MOONLIGHT MEADOWS PHASE 1","410 Moonlight Graham Boulevard","1280","3","2","0.14","4/15/2026 9:17 AM","5/6/2026","$143.75",
"2","SLD","$195,000","$185,000","MOONLIGHT MEADOWS PHASE 1","440 Moonlight Graham Boulevard","1280","3","2","0.14","10/7/2025 3:26 PM","1/27/2026","$144.53","1/27/2026"
"22","ACT","$185,000","$185,000","MOONLIGHT MEADOWS PHASE 1","360 Moonlight Graham Boulevard","1156","3","2","0.14","5/5/2026 2:51 PM","7/8/2026","$160.03",
"21","SLD","$186,000","$185,000","MOONLIGHT MEADOWS PHASE 1","510 Moonlight Graham Boulevard","1280","3","2","0.14","12/16/2025 2:37 PM","7/29/2026","$144.53","7/28/2026"
"21","ACT","$190,000","$190,000","MOONLIGHT MEADOWS PHASE 1","330 Moonlight Graham Boulevard","1280","3","2","0.15","5/5/2026 3:07 PM","7/8/2026","$148.44",
"21","ACT","$190,000","$190,000","MOONLIGHT MEADOWS PHASE 1","370 Moonlight Graham Boulevard","1280","3","2","0.14","5/5/2026 3:23 PM","7/8/2026","$148.44",
"2","SLD","$191,000","$191,000","VINEYARD SUB PH II","5 Vineyard Drive","1364","3","2","0.19","2/25/2026 10:00 AM","3/3/2026","$140.03","3/26/2026"
"2","SLD","$191,000","$191,000","VINEYARD SUB PH II","11 Vineyard Drive","1364","3","2","0.19","1/20/2026 4:21 PM","3/3/2026","$140.03","3/26/2026"
"21","SLD","$193,000","$193,000","MOONLIGHT MEADOWS PHASE 1","341 Moonlight Graham Boulevard","1586","4","2","0.14","2/14/2026 2:07 AM","4/20/2026","$121.69","5/14/2026"
"21","SLD","$193,000","$193,000","MOONLIGHT MEADOWS PHASE 1","391 Moonlight Graham Boulevard","1586","4","2","0.14","2/15/2026 12:14 PM","4/20/2026","$121.69","5/14/2026"
"21","ACT","$194,000","$194,000","MOONLIGHT MEADOWS PHASE 1","371 Moonlight Graham Boulevard","1280","3","2","0.14","2/15/2026 1:23 PM","7/8/2026","$151.56",
"21","SLD","$210,300","$195,000","MOONLIGHT MEADOWS PHASE 1","520 Moonlight Graham Boulevard","1435","3","2","0.18","12/16/2025 2:46 PM","8/3/2026","$135.89","7/31/2026"
"22","SLD","$195,000","$195,500","MOONLIGHT MEADOWS PHASE 1","400 Moonlight Graham Boulevard","1586","4","2","0.14","4/15/2026 9:34 AM","6/29/2026","$123.27","6/26/2026"
"2","SLD","$196,000","$196,000","VINEYARD SUB PH II","13 Vineyard Drive","1476","4","2","0.18","2/25/2026 10:09 AM","3/3/2026","$132.79","4/30/2026"
"2","SLD","$196,000","$196,000","VINEYARD SUB PH II","7 Vineyard Drive","1476","4","2","0.19","1/20/2026 4:33 PM","3/3/2026","$132.79","3/26/2026"
"2","SLD","$204,000","$196,000","MOONLIGHT MEADOWS PHASE 1","480 Moonlight Graham Boulevard","1435","3","2","0.14","10/7/2025 3:48 PM","1/27/2026","$136.59","1/27/2026"
"21","UCT","$197,100","$197,100","MOONLIGHT MEADOWS PHASE 1","380 Moonlight Graham Boulevard","1435","3","2","0.14","4/15/2026 9:24 AM","6/26/2026","$137.35","9/11/2026"
"20","ACT","$199,900","$199,900","MOONLIGHT MEADOWS PHASE 1","381 Moonlight Graham Boulevard","1435","3","2","0.14","2/15/2026 1:31 PM","7/8/2026","$139.30",
"22","SLD","$200,000","$200,000","MOONLIGHT MEADOWS PHASE 1","450 Moonlight Graham Boulevard","1586","4","2","0.14","10/27/2025 2:10 PM","2/17/2026","$126.10","3/27/2026"
"26","SLD","$203,000","$200,000","MOONLIGHT MEADOWS PHASE 1","460 Moonlight Graham Boulevard","1489","3","2","0.14","10/27/2025 2:24 PM","6/1/2026","$134.32","5/29/2026"
"21","SLD","$215,000","$201,000","MOONLIGHT MEADOWS PHASE 1","350 Moonlight Graham Boulevard","1586","4","2","0.14","5/5/2026 2:43 PM","7/15/2026","$126.73","7/13/2026"
"20","EXP","$204,000","$204,000","MOONLIGHT MEADOWS PHASE 1","340 Moonlight Graham Boulevard","1435","3","2","0.14","5/5/2026 3:28 PM","5/5/2026","$142.16",
"21","SLD","$200,000","$204,000","MOONLIGHT MEADOWS PHASE 1","490 Moonlight Graham Boulevard","1586","4","2","0.14","12/30/2025 2:11 PM","4/28/2026","$128.63","4/24/2026"
"25","SLD","$205,000","$205,000","MOONLIGHT MEADOWS PHASE 1","361 Moonlight Graham Boulevard","1489","3","2","0.14","2/15/2026 1:13 PM","6/26/2026","$137.68","7/23/2026"
