Picture Count,Status,List Price,Price,Subdivision,Address,Apx SQFT,Beds,Full Baths,Apx ACR,Input Date,Price Date,Price Per SQFT,Closed Date
28,SLD,"$340,000","$340,000",THE RESERVE AT COUNTRY CLUB PHASE 3,616 Riley Lane,2087,4,2,,8/6/2026,,,
35,SLD,"$335,000","$335,000",THE RESERVE AT COUNTRY CLUB PHASE 3,315 Lainey Drive,2035,4,3,,8/6/2026,,,
2,SLD,"$333,300","$333,300",THE RESERVE AT COUNTRY CLUB PHASE 3,604 Riley Lane,1955,4,2,,8/6/2026,,,
25,UCT,"$325,000","$325,000",RIVER PLANTATION SUBDIVISION PHASE 9,34 Plantation Drive,2196,4,2,,8/6/2026,,,
13,UCT,"$306,800","$306,800",THE RESERVE AT COUNTRY CLUB PHASE 3,704 Riley Lane,1646,3,2,,8/6/2026,,,
13,UCT,"$306,800","$306,800",THE RESERVE AT COUNTRY CLUB PHASE 3,704 Riley Lane,1646,3,2,,8/6/2026,,,
13,UCT,"$306,800","$306,800",THE RESERVE AT COUNTRY CLUB PHASE 3,704 Riley Lane,1646,3,2,,8/6/2026,,,
2,NEW,"$275,500","$275,500",STONE CANYON ADDITION SUBDIVISON,210 Stone Canyon Drive,1892,4,3,,8/6/2026,,,
23,UCT,"$271,000","$271,000",STONE CANYON ADDITION SUBDIVISON,235 Stone Canyon Drive,1867,5,2,,8/6/2026,,,
23,UCT,"$271,000","$271,000",STONE CANYON ADDITION SUBDIVISON,220 Stone Canyon Drive,1867,5,2,,8/6/2026,,,
26,PCHG,"$266,000","$266,000",WOLFSBRIDGE @ CABOT PH 1-A,40 Wolfsbridge Loop,1858,4,2,,8/6/2026,,,
26,PCHG,"$266,000","$266,000",WOLFSBRIDGE @ CABOT PH 1-A,40 Wolfsbridge Loop,1858,4,2,,8/6/2026,,,
2,NEW,"$265,500","$265,500",STONE CANYON ADDITION SUBDIVISON,230 Stone Canyon Drive,1778,4,2,,8/6/2026,,,
2,NEW,"$260,500","$260,500",STONE CANYON ADDITION SUBDIVISON,200 Stone Canyon Drive,1718,4,2,,8/6/2026,,,
23,UCT,"$257,000","$257,000",STONE CANYON ADDITION SUBDIVISON,215 Stone Canyon Drive,1867,5,2,,8/6/2026,,,
2,NEW,"$255,500","$255,500",STONE CANYON ADDITION SUBDIVISON,240 Stone Canyon Drive,1595,3,2,,8/6/2026,,,
26,SLD,"$254,500","$254,500",WOLFSBRIDGE @ CABOT PH 1-A,36 Wolfsbridge Loop,1858,4,2,,8/6/2026,,,
2,NEW,"$249,500","$249,500",STONE CANYON ADDITION SUBDIVISON,130 Stone Canyon Drive,1528,3,2,,8/6/2026,,,
6,UCT,"$244,900","$244,900",MAGNOLIA MANOR,1403 Gum Spring Road,1652,4,2,,8/6/2026,,,
31,UCT,"$243,400","$243,400",MAGNOLIA MANOR,1406 Manor Court,1652,4,2,,8/6/2026,,,
2,NEW,"$242,400","$242,400",MAGNOLIA MANOR,1410 Manor Oaks Boulevard,1633,3,2,,8/6/2026,,,
26,SLD,"$242,000","$242,000",STONE CANYON ADDITION SUBDIVISON,180 Bighorn Trail,1525,4,2,,8/6/2026,,,
17,PCHG,"$241,500","$241,500",STONE CANYON ADDITION SUBDIVISON,175 Bighorn Trail,1364,3,2,,8/6/2026,,,
2,NEW,"$240,900","$240,900",MAGNOLIA MANOR,1405 Manor Court,1652,4,2,,8/6/2026,,,
2,UCT,"$239,400","$239,400",MAGNOLIA MANOR,1404 Manor Oaks Boulevard,1633,3,2,,8/6/2026,,,
6,PCHG,"$238,600","$238,600",THE GROVE AT CENTENNIAL VALLEY,2352 Bassett Street,1852,4,2,,8/6/2026,,,
2,SLD,"$236,900","$236,900",THE GROVE AT CENTENNIAL VALLEY,2353 Bassett Street,1852,4,2,,8/6/2026,,,
6,PCHG,"$235,900","$235,900",MAGNOLIA MANOR,1207 Manor Oaks Boulevard,1559,4,2,,8/6/2026,,,
31,PCHG,"$234,400","$234,400",MAGNOLIA MANOR,1206 Manor Oaks Boulevard,1633,3,2,,8/6/2026,,,
2,NEW,"$233,700","$233,700",COTTAGE WALK SUBDIVISION PHASE 1,1644 Rambling Brook Drive,1699,4,2,,8/6/2026,,,
2,UCT,"$232,900","$232,900",COTTAGE WALK SUBDIVISION PHASE 1,1609 Rambling Brook Drive,1699,4,2,,8/6/2026,,,
2,NEW,"$232,900","$232,900",ROSEMARY FIELDS PHASE I,117 Flat Wood Avenue,1732,4,2,,8/6/2026,,,
2,NEW,"$231,900","$231,900",MAGNOLIA MANOR,1408 Manor Oaks Boulevard,1470,4,2,,8/6/2026,,,
8,PCHG,"$230,900","$230,900",MAGNOLIA MANOR,1205 Manor Oaks Boulevard,1470,4,2,,8/6/2026,,,
11,UCT,"$230,900","$230,900",COTTAGE WALK SUBDIVISION PHASE 1,1625 Rambling Brook Drive,1699,4,2,,8/6/2026,,,
2,NEW,"$228,725","$228,725",SOUTHFORK RANCH S/D PH I,107 King Ranch Drive,1985,4,2,,8/6/2026,,,
8,PCHG,"$227,900","$227,900",ROSEMARY FIELDS PHASE I,213 Flat Wood Avenue,1732,4,2,,8/6/2026,,,
2,NEW,"$227,900","$227,900",ROSEMARY FIELDS PHASE I,133 Flat Wood Avenue,1569,3,2,,8/6/2026,,,
1,SLD,"$226,900","$226,900",MIDLAND ESTATES PHASE 1,2341 Sam Tillery Drive,1439,4,2,,8/6/2026,,,
2,NEW,"$225,900","$225,900",COTTAGE WALK SUBDIVISION PHASE 1,1640 Rambling Brook Drive,1612,3,2,,8/6/2026,,,
2,SLD,"$225,150","$225,150",CYPRESS BEND AT WHITE OAK CROSSING,144 Jonathan Drive,1402,3,2,,8/6/2026,,,
11,PCHG,"$224,900","$224,900",THE MEADOWS,8065 Chesapeake Trail,1699,4,2,,8/6/2026,,,
2,PCHG,"$224,900","$224,900",THE VINEYARD SUBDIVISION PHASE 2,10 Cabernet Way,1810,4,2,,8/6/2026,,,
7,PCHG,"$224,900","$224,900",ROSEMARY FIELDS PHASE I,217 Flat Wood Avenue,1569,3,2,,8/6/2026,,,
31,UCT,"$224,750","$224,750",MAGNOLIA MANOR,1408 Manor Court,1523,3,2,,8/6/2026,,,
30,UCT,"$224,400","$224,400",MAGNOLIA MANOR,1410 Manor Court,1470,4,2,,8/6/2026,,,
1,SLD,"$223,900","$223,900",THE VINEYARD SUBDIVISION PHASE 2,9 E Reliance Court,1633,3,2,,8/6/2026,,,
31,PCHG,"$223,900","$223,900",MAGNOLIA MANOR,906 Magnolia Springs Drive,1446,3,2,,8/6/2026,,,
13,PCHG,"$223,900","$223,900",ROSEMARY FIELDS PHASE I,205 Flat Wood Avenue,1569,3,2,,8/6/2026,,,
2,UCT,"$223,900","$223,900",COUNTRY CLUB OF ARK THE,8304 Kim Drive,1523,3,2,,8/6/2026,,,
10,UCT,"$222,900","$222,900",MIDLAND ESTATES PHASE 1,2180 Sam Tillery Drive,1355,3,2,,8/6/2026,,,
2,NEW,"$222,400","$222,400",SOUTHFORK RANCH S/D PH I,111 King Ranch Drive,1810,4,2,,8/6/2026,,,
1,SBL,"$221,900","$221,900",COUNTRY CLUB OF ARK THE,10200 Lori Kaye Drive,1470,4,2,,8/6/2026,,,
13,UCT,"$221,400","$221,400",THE GROVE AT CENTENNIAL VALLEY,2320 Bassett Street,1470,4,2,,8/6/2026,,,
31,UCT,"$220,900","$220,900",THE MEADOWS,8041 Chesapeake Trail,1651,3,2,,8/6/2026,,,
1,SBL,"$220,900","$220,900",COUNTRY CLUB OF ARK THE,10201 Brandi Kay Drive,1470,4,2,,8/6/2026,,,
2,NEW,"$219,900","$219,900",COTTAGE WALK SUBDIVISION PHASE 1,1632 Rambling Brook Drive,1446,3,2,,8/6/2026,,,
11,PCHG,"$219,400","$219,400",THE GROVE AT CENTENNIAL VALLEY,2360 Bassett Street,1496,4,2,,8/6/2026,,,
2,UCT,"$219,200","$219,200",THE VINEYARD SUBDIVISION PHASE 2,5 Cabernet Way,1569,3,2,,8/6/2026,,,
8,PCHG,"$218,900","$218,900",ROSEMARY FIELDS PHASE I,201 Flat Wood Avenue,1413,3,2,,8/6/2026,,,
2,NEW,"$218,900","$218,900",COTTAGE WALK SUBDIVISION PHASE 1,1648 Rambling Brook Drive,1446,3,2,,8/6/2026,,,
8,PCHG,"$217,900","$217,900",ROSEMARY FIELDS PHASE I,221 Flat Wood Avenue,1413,3,2,,8/6/2026,,,
1,SBL,"$217,900","$217,900",COUNTRY CLUB OF ARK THE,8300 Kim Drive,1470,4,2,,8/6/2026,,,
6,PCHG,"$216,900","$216,900",MAGNOLIA MANOR,1406 Manor Oaks Boulevard,1355,3,2,,8/6/2026,,,
2,NEW,"$216,700","$216,700",COTTAGE WALK SUBDIVISION PHASE 1,1652 Rambling Brook Drive,1355,3,2,,8/6/2026,,,
1,SLD,"$215,100","$215,100",THE GROVE AT CENTENNIAL VALLEY,2337 Bassett Street,1422,3,2,,8/6/2026,,,
30,UCT,"$214,900","$214,900",SPRINGLAKE TRAILS,15089 Thompson Branch Trail,1612,3,2,,8/6/2026,,,
9,TBU,"$214,900","$214,900",SPRINGLAKE TRAILS,15121 Thompson Branch Trail,1446,3,2,,8/6/2026,,,
31,PCHG,"$214,900","$214,900",THE MEADOWS,8057 Chesapeake Trail,1496,4,2,,8/6/2026,,,
8,PCHG,"$214,900","$214,900",ROSEMARY FIELDS PHASE I,209 Flat Wood Avenue,1290,3,2,,8/6/2026,,,
9,PCHG,"$214,900","$214,900",ROSEMARY FIELDS PHASE I,141 Flat Wood Avenue,1500,4,2,,8/6/2026,,,
2,PCHG,"$214,900","$214,900",THE VINEYARD SUBDIVISION PHASE 2,12 Cabernet Way,1413,3,2,,8/6/2026,,,
2,NEW,"$213,900","$213,900",COTTAGE WALK SUBDIVISION PHASE 1,1636 Rambling Brook Drive,1355,3,2,,8/6/2026,,,
2,NEW,"$212,900","$212,900",ROSEMARY FIELDS PHASE I,137 Flat Wood Avenue,1290,3,2,,8/6/2026,,,
14,UCT,"$211,900","$211,900",COTTAGE WALK SUBDIVISION PHASE 1,1620 Rambling Brook Drive,1355,3,2,,8/6/2026,,,
2,PCHG,"$209,900","$209,900",STAGECOACH MEADOWS,105 Maddison Rachael,1459,4,2,,8/6/2026,,,
30,SLD,"$208,900","$208,900",SPRINGLAKE TRAILS,15081 Thompson Branch Trail,1442,3,2,,8/6/2026,,,
2,NEW,"$208,900","$208,900",COTTAGE WALK SUBDIVISION PHASE 1,1656 Rambling Brook Drive,1216,3,2,,8/6/2026,,,
30,SLD,"$208,600","$208,600",THE MEADOWS,8072 Chesapeake Trail,1496,4,2,,8/6/2026,,,
6,UCT,"$205,900","$205,900",COTTAGE WALK SUBDIVISION PHASE 1,1628 Rambling Brook Drive,1216,3,2,,8/6/2026,,,
31,PCHG,"$204,900","$204,900",STAGECOACH MEADOWS,100 Nona Ruth Lane,1459,4,2,,8/6/2026,,,
2,PCHG,"$204,550","$204,550",STAGECOACH MEADOWS,115 Maddison Rachael,1373,3,2,,8/6/2026,,,
2,PCHG,"$199,900","$199,900",STAGECOACH MEADOWS,110 Nona Ruth Lane,1248,3,2,,8/6/2026,,,
31,PCHG,"$199,900","$199,900",THE MEADOWS,8049 Chesapeake Trail,1301,3,2,,8/6/2026,,,
21,SLD,"$195,000","$195,000",MOONLIGHT MEADOWS PHASE 1,520 Moonlight Graham Boulevard,1435,3,2,,8/6/2026,,,
31,UCT,"$191,900","$191,900",COTTAGE WALK SUBDIVISION PHASE 1,1000 Raven Walk Drive,1051,3,2,,8/6/2026,,,
